"Folkmängden per region efter region, ålder, kön och år"

"region","ålder","kön","2022"
"Upplands Väsby (Bollstanäs)","totalt","totalt",5982
"Upplands Väsby (Hammarby-Vaxmyra)","totalt","totalt",2806
"Upplands Väsby (Odenslunda norra-Frestaby-Ekeby)","totalt","totalt",5106
"Upplands Väsby (Odenslunda södra-Bredden)","totalt","totalt",3270
"Upplands Väsby (Runby norra)","totalt","totalt",2025
"Upplands Väsby (Runby södra-Ed)","totalt","totalt",5377
"Upplands Väsby (Skälby-Brunnby Vik)","totalt","totalt",3687
"Upplands Väsby (Smedby södra-Älvsunda)","totalt","totalt",2325
"Upplands Väsby (Upplands Väsby centrum-Smedby norra)","totalt","totalt",5469
"Upplands Väsby (Upplands Väsby omland)","totalt","totalt",863
"Upplands Väsby (Vilunda västra)","totalt","totalt",4905
"Upplands Väsby (Vilunda östra)","totalt","totalt",7447
"Vallentuna (Karby-Brottby)","totalt","totalt",1165
"Vallentuna (Lindholmen)","totalt","totalt",1444
"Vallentuna (Vallentuna centrala tätort)","totalt","totalt",7883
"Vallentuna (Vallentuna landsbygd)","totalt","totalt",6155
"Vallentuna (Vallentuna södra tätort)","totalt","totalt",8381
"Vallentuna (Vallentuna västra tätort)","totalt","totalt",2743
"Vallentuna (Vallentuna östra tätort)","totalt","totalt",7080
"Österåker (Berga)","totalt","totalt",5314
"Österåker (Brevik-Lervik-Flaxenvik)","totalt","totalt",5602
"Österåker (Hacksta-Centrumområdet)","totalt","totalt",1813
"Österåker (Ljusterö-omkringliggande skärgård)","totalt","totalt",2098
"Österåker (Margeretelunds centrum)","totalt","totalt",4906
"Österåker (Norrgårdshöjden)","totalt","totalt",2555
"Österåker (Roslagskulla-Furusundsleden)","totalt","totalt",2386
"Österåker (Rydbo)","totalt","totalt",710
"Österåker (Skånsta-Singö)","totalt","totalt",3962
"Österåker (Stava-Smedby-Sjökarby)","totalt","totalt",5637
"Österåker (Svinninge)","totalt","totalt",3318
"Österåker (Söra)","totalt","totalt",2794
"Österåker (Tuna)","totalt","totalt",2705
"Österåker (Täljö-Runö)","totalt","totalt",2703
"Österåker (Österskär)","totalt","totalt",2635
"Värmdö (Björnkärret-Nyhem)","totalt","totalt",2126
"Värmdö (Djurö-Vindö)","totalt","totalt",2024
"Värmdö (Farstalandet-Charlottendal)","totalt","totalt",5150
"Värmdö (Hagaberg)","totalt","totalt",2048
"Värmdö (Hemmesta)","totalt","totalt",3584
"Värmdö (Herrviksnäs-Strömma-Hässelmara)","totalt","totalt",2367
"Värmdö (Ingarö norr)","totalt","totalt",4124
"Värmdö (Ingarö söder)","totalt","totalt",3597
"Värmdö (Kvarnberget-Hästhagen)","totalt","totalt",2426
"Värmdö (Munkmora-Ösby grind)","totalt","totalt",1948
"Värmdö (Mörtnäs)","totalt","totalt",2915
"Värmdö (Norra Värdölandet-Skärgården)","totalt","totalt",3784
"Värmdö (Ormingelandet)","totalt","totalt",1344
"Värmdö (Skeppsdalsström)","totalt","totalt",818
"Värmdö (Stavsnäs)","totalt","totalt",1680
"Värmdö (Torsby)","totalt","totalt",1437
"Värmdö (Älvsala-Skärmarö)","totalt","totalt",1621
"Värmdö (Ösbydalen-Holmviksskogen)","totalt","totalt",1963
"Värmdö (Östra Ekedal-Höjdhagen)","totalt","totalt",1501
"Järfälla (Barkarby västra-Skälby östra)","totalt","totalt",4014
"Järfälla (Barkarby östra-Veddesta)","totalt","totalt",2794
"Järfälla (Barkarbystaden norra)","totalt","totalt",6011
"Järfälla (Bolinder Strand)","totalt","totalt",1926
"Järfälla (Centrala Jakobsberg)","totalt","totalt",5647
"Järfälla (Centrala Kallhäll)","totalt","totalt",4671
"Järfälla (Centrala Söderhöjden)","totalt","totalt",1122
"Järfälla (Centrala Viksjö norra)","totalt","totalt",2215
"Järfälla (Centrala Viksjö södra)","totalt","totalt",3835
"Järfälla (Fjällen-Fastebol)","totalt","totalt",3750
"Järfälla (Hammaren västra)","totalt","totalt",2424
"Järfälla (Jakobsberg norra)","totalt","totalt",4708
"Järfälla (Jakobsberg västra)","totalt","totalt",3745
"Järfälla (Kolarängen-Villastaden)","totalt","totalt",2139
"Järfälla (Lädersättra)","totalt","totalt",2280
"Järfälla (Nibble)","totalt","totalt",2339
"Järfälla (Nyberg-Hammaren östra)","totalt","totalt",4007
"Järfälla (Skogstorp)","totalt","totalt",1005
"Järfälla (Skälby västra)","totalt","totalt",6306
"Järfälla (Stäket)","totalt","totalt",2651
"Järfälla (Tallbohov)","totalt","totalt",3375
"Järfälla (Ulvsättra)","totalt","totalt",1899
"Järfälla (Vibblaby)","totalt","totalt",5366
"Järfälla (Viksjö västra)","totalt","totalt",5861
"Järfälla (Ålsta)","totalt","totalt",1370
"Ekerö (Adelsö-Munsö-Västra Ekerön)","totalt","totalt",2481
"Ekerö (Ekebyhov-Träkvista-Väsby)","totalt","totalt",4018
"Ekerö (Ekerö centrum-Östra Ekerön)","totalt","totalt",2865
"Ekerö (Färingsö omland)","totalt","totalt",2082
"Ekerö (Kungsberga-Färentuna-Hilleshög)","totalt","totalt",2183
"Ekerö (Lovön)","totalt","totalt",985
"Ekerö (Stenhamra)","totalt","totalt",3680
"Ekerö (Sundby-Ekerö sommarstad)","totalt","totalt",1583
"Ekerö (Södra Färingsö)","totalt","totalt",1557
"Ekerö (Västra Sandudden-Lundhagen-Skärvik)","totalt","totalt",3028
"Ekerö (Älvnäs-Brunna-Närlunda)","totalt","totalt",4661
"Huddinge (Flemingsberg västra)","totalt","totalt",7200
"Huddinge (Flemingsberg östra)","totalt","totalt",6873
"Huddinge (Flemingsberg-Kästa)","totalt","totalt",1498
"Huddinge (Fullersta norra)","totalt","totalt",5528
"Huddinge (Fullersta södra)","totalt","totalt",3810
"Huddinge (Gladö-Lissma)","totalt","totalt",1603
"Huddinge (Glömsta-Loviseberg)","totalt","totalt",5043
"Huddinge (Högmora-Vidja-Ågesta)","totalt","totalt",4482
"Huddinge (Kungens Kurva-Kråkvik)","totalt","totalt",2429
"Huddinge (Länna)","totalt","totalt",2810
"Huddinge (Segeltorp)","totalt","totalt",7303
"Huddinge (Sjödalen centrala-norra)","totalt","totalt",7223
"Huddinge (Sjödalen södra)","totalt","totalt",8996
"Huddinge (Skogås västra)","totalt","totalt",7090
"Huddinge (Skogås östra)","totalt","totalt",5242
"Huddinge (Snättringe)","totalt","totalt",9174
"Huddinge (Stuvsta)","totalt","totalt",8268
"Huddinge (Trångsund)","totalt","totalt",5683
"Huddinge (Trångsund centrala)","totalt","totalt",3712
"Huddinge (Vårby gård)","totalt","totalt",6799
"Huddinge (Vårby Haga-Masmo)","totalt","totalt",2768
"Huddinge (Vårby Udde-Duvberget)","totalt","totalt",970
"Botkyrka (Albyberget)","totalt","totalt",5489
"Botkyrka (Albydalen)","totalt","totalt",8726
"Botkyrka (Brantbrink-Tullingeskog-Rörmossen)","totalt","totalt",4762
"Botkyrka (Eriksberg-Sturehov)","totalt","totalt",3838
"Botkyrka (Fittja)","totalt","totalt",7675
"Botkyrka (Grödinge)","totalt","totalt",2088
"Botkyrka (Hallunda)","totalt","totalt",6107
"Botkyrka (Kassmyra-Skäcklinge)","totalt","totalt",4481
"Botkyrka (Lanthem-Tullinge centrum-Tullingeberg)","totalt","totalt",6110
"Botkyrka (Norsborg)","totalt","totalt",6397
