"region","civilstånd","ålder","kön","år","Folkmängd"
"01 Stockholms län","ogifta","totalt ålder","män","2024",725053
"01 Stockholms län","ogifta","totalt ålder","kvinnor","2024",652223
"01 Stockholms län","gifta","totalt ålder","män","2024",389124
"01 Stockholms län","gifta","totalt ålder","kvinnor","2024",378592
"01 Stockholms län","skilda","totalt ålder","män","2024",107477
"01 Stockholms län","skilda","totalt ålder","kvinnor","2024",148543
"01 Stockholms län","änkor/änklingar","totalt ålder","män","2024",16723
"01 Stockholms län","änkor/änklingar","totalt ålder","kvinnor","2024",55572
"03 Uppsala län","ogifta","totalt ålder","män","2024",120302
"03 Uppsala län","ogifta","totalt ålder","kvinnor","2024",110570
"03 Uppsala län","gifta","totalt ålder","män","2024",63005
"03 Uppsala län","gifta","totalt ålder","kvinnor","2024",62584
"03 Uppsala län","skilda","totalt ålder","män","2024",16220
"03 Uppsala län","skilda","totalt ålder","kvinnor","2024",21396
"03 Uppsala län","änkor/änklingar","totalt ålder","män","2024",3435
"03 Uppsala län","änkor/änklingar","totalt ålder","kvinnor","2024",10400
"04 Södermanlands län","ogifta","totalt ålder","män","2024",83194
"04 Södermanlands län","ogifta","totalt ålder","kvinnor","2024",71880
"04 Södermanlands län","gifta","totalt ålder","män","2024",49780
"04 Södermanlands län","gifta","totalt ålder","kvinnor","2024",49102
"04 Södermanlands län","skilda","totalt ålder","män","2024",14676
"04 Södermanlands län","skilda","totalt ålder","kvinnor","2024",18837
"04 Södermanlands län","änkor/änklingar","totalt ålder","män","2024",3629
"04 Södermanlands län","änkor/änklingar","totalt ålder","kvinnor","2024",10444
"05 Östergötlands län","ogifta","totalt ålder","män","2024",138664
"05 Östergötlands län","ogifta","totalt ålder","kvinnor","2024",117779
"05 Östergötlands län","gifta","totalt ålder","män","2024",76876
"05 Östergötlands län","gifta","totalt ålder","kvinnor","2024",76126
"05 Östergötlands län","skilda","totalt ålder","män","2024",18682
"05 Östergötlands län","skilda","totalt ålder","kvinnor","2024",24526
"05 Östergötlands län","änkor/änklingar","totalt ålder","män","2024",4924
"05 Östergötlands län","änkor/änklingar","totalt ålder","kvinnor","2024",14869
"06 Jönköpings län","ogifta","totalt ålder","män","2024",104248
"06 Jönköpings län","ogifta","totalt ålder","kvinnor","2024",87271
"06 Jönköpings län","gifta","totalt ålder","män","2024",65973
"06 Jönköpings län","gifta","totalt ålder","kvinnor","2024",65366
"06 Jönköpings län","skilda","totalt ålder","män","2024",13710
"06 Jönköpings län","skilda","totalt ålder","kvinnor","2024",17086
"06 Jönköpings län","änkor/änklingar","totalt ålder","män","2024",3945
"06 Jönköpings län","änkor/änklingar","totalt ålder","kvinnor","2024",12410
"07 Kronobergs län","ogifta","totalt ålder","män","2024",59158
"07 Kronobergs län","ogifta","totalt ålder","kvinnor","2024",49340
"07 Kronobergs län","gifta","totalt ålder","män","2024",34429
"07 Kronobergs län","gifta","totalt ålder","kvinnor","2024",33947
"07 Kronobergs län","skilda","totalt ålder","män","2024",7875
"07 Kronobergs län","skilda","totalt ålder","kvinnor","2024",9778
"07 Kronobergs län","änkor/änklingar","totalt ålder","män","2024",2254
"07 Kronobergs län","änkor/änklingar","totalt ålder","kvinnor","2024",6570
"08 Kalmar län","ogifta","totalt ålder","män","2024",68908
