Område;Bebyggelsetyp;År;Åldersgrupp;Summa
0 - Hela staden;befintlig bebyggelse;2024;0 år;11209
0 - Hela staden;befintlig bebyggelse;2024;1-5 år;52191
0 - Hela staden;befintlig bebyggelse;2024;6-9 år;40410
0 - Hela staden;befintlig bebyggelse;2024;10-12 år;31440
0 - Hela staden;befintlig bebyggelse;2024;13-15 år;32088
0 - Hela staden;befintlig bebyggelse;2024;16-18 år;31309
0 - Hela staden;befintlig bebyggelse;2024;19-24 år;63758
0 - Hela staden;befintlig bebyggelse;2024;25-44 år;327750
0 - Hela staden;befintlig bebyggelse;2024;45-64 år;242540
0 - Hela staden;befintlig bebyggelse;2024;65-79 år;120056
0 - Hela staden;befintlig bebyggelse;2024;80-w;42823
0 - Hela staden;befintlig bebyggelse;2025;0 år;10825,83207
0 - Hela staden;befintlig bebyggelse;2025;1-5 år;50594,31294
0 - Hela staden;befintlig bebyggelse;2025;6-9 år;39613,0565
0 - Hela staden;befintlig bebyggelse;2025;10-12 år;30888,88326
0 - Hela staden;befintlig bebyggelse;2025;13-15 år;31698,9522
0 - Hela staden;befintlig bebyggelse;2025;16-18 år;31665,26426
0 - Hela staden;befintlig bebyggelse;2025;19-24 år;64134,35898
0 - Hela staden;befintlig bebyggelse;2025;25-44 år;323668,3457
0 - Hela staden;befintlig bebyggelse;2025;45-64 år;244867,2971
0 - Hela staden;befintlig bebyggelse;2025;65-79 år;120788,9915
0 - Hela staden;befintlig bebyggelse;2025;80-w;45648,77064
0 - Hela staden;befintlig bebyggelse;2026;0 år;10639,20775
0 - Hela staden;befintlig bebyggelse;2026;1-5 år;49036,95131
0 - Hela staden;befintlig bebyggelse;2026;6-9 år;38299,39568
0 - Hela staden;befintlig bebyggelse;2026;10-12 år;30455,39452
0 - Hela staden;befintlig bebyggelse;2026;13-15 år;31072,9137
0 - Hela staden;befintlig bebyggelse;2026;16-18 år;32217,52833
0 - Hela staden;befintlig bebyggelse;2026;19-24 år;65170,71511
0 - Hela staden;befintlig bebyggelse;2026;25-44 år;320108,6798
0 - Hela staden;befintlig bebyggelse;2026;45-64 år;246563,5772
0 - Hela staden;befintlig bebyggelse;2026;65-79 år;121838,1781
0 - Hela staden;befintlig bebyggelse;2026;80-w;48263,47067
0 - Hela staden;befintlig bebyggelse;2027;0 år;10460,0173
0 - Hela staden;befintlig bebyggelse;2027;1-5 år;47125,06694
0 - Hela staden;befintlig bebyggelse;2027;6-9 år;37872,091
0 - Hela staden;befintlig bebyggelse;2027;10-12 år;29503,63605
0 - Hela staden;befintlig bebyggelse;2027;13-15 år;30851,12137
0 - Hela staden;befintlig bebyggelse;2027;16-18 år;32033,12272
0 - Hela staden;befintlig bebyggelse;2027;19-24 år;65977,37406
0 - Hela staden;befintlig bebyggelse;2027;25-44 år;317025,512
