SDO;basomr;projekt;beftyp;ar;Summa av lgh
SDO01;2240130;Bodil 1_H;H;2025;0
SDO01;2240130;Bodil 1_H;H;2026;0
SDO01;2240130;Bodil 1_H;H;2027;0
SDO01;2240130;Bodil 1_H;H;2028;33
SDO01;2240130;Bodil 1_H;H;2029;100
SDO01;2240130;Bodil 1_H;H;2030;0
SDO01;2240130;Bodil 1_H;H;2031;0
SDO01;2240130;Bodil 1_H;H;2032;0
SDO01;2240130;Bodil 1_H;H;2033;0
SDO01;2240130;Bodil 1_H;H;2034;0
SDO01;2240130;Bromsten:    s+_S;S;2025;0
SDO01;2240130;Bromsten:    s+_S;S;2026;3
SDO01;2240130;Bromsten:    s+_S;S;2027;3
SDO01;2240130;Bromsten:    s+_S;S;2028;3
SDO01;2240130;Bromsten:    s+_S;S;2029;3
SDO01;2240130;Bromsten:    s+_S;S;2030;3
SDO01;2240130;Bromsten:    s+_S;S;2031;3
SDO01;2240130;Bromsten:    s+_S;S;2032;3
SDO01;2240130;Bromsten:    s+_S;S;2033;3
SDO01;2240130;Bromsten:    s+_S;S;2034;3
SDO01;2240130;Bromstensgluggen br_B;B;2025;0
SDO01;2240130;Bromstensgluggen br_B;B;2026;0
SDO01;2240130;Bromstensgluggen br_B;B;2027;0
SDO01;2240130;Bromstensgluggen br_B;B;2028;0
SDO01;2240130;Bromstensgluggen br_B;B;2029;35
SDO01;2240130;Bromstensgluggen br_B;B;2030;35
SDO01;2240130;Bromstensgluggen br_B;B;2031;35
SDO01;2240130;Bromstensgluggen br_B;B;2032;35
SDO01;2240130;Bromstensgluggen br_B;B;2033;35
SDO01;2240130;Bromstensgluggen br_B;B;2034;35
SDO01;2240130;Bromstensgluggen hr_H;H;2025;0
SDO01;2240130;Bromstensgluggen hr_H;H;2026;0
SDO01;2240130;Bromstensgluggen hr_H;H;2027;0
SDO01;2240130;Bromstensgluggen hr_H;H;2028;0
SDO01;2240130;Bromstensgluggen hr_H;H;2029;0
SDO01;2240130;Bromstensgluggen hr_H;H;2030;0
SDO01;2240130;Bromstensgluggen hr_H;H;2031;40
SDO01;2240130;Bromstensgluggen hr_H;H;2032;40
SDO01;2240130;Bromstensgluggen hr_H;H;2033;40
SDO01;2240130;Bromstensgluggen hr_H;H;2034;35
SDO01;2240130;Bromstensgluggen LSS_L;L;2025;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2026;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2027;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2028;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2029;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2030;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2031;16
SDO01;2240130;Bromstensgluggen LSS_L;L;2032;16
SDO01;2240130;Bromstensgluggen LSS_L;L;2033;0
SDO01;2240130;Bromstensgluggen LSS_L;L;2034;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2025;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2026;50
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2027;50
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2028;50
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2029;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2030;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2031;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2032;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2033;0
SDO01;2240130;Bromstensstaden kv Lunden_H;H;2034;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2025;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2026;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2027;40
SDO01;2240130;Bromstensstaden kv Tora_B;B;2028;81
SDO01;2240130;Bromstensstaden kv Tora_B;B;2029;41
SDO01;2240130;Bromstensstaden kv Tora_B;B;2030;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2031;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2032;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2033;0
SDO01;2240130;Bromstensstaden kv Tora_B;B;2034;0
SDO01;2240130;Ester 1_B;B;2025;30
SDO01;2240130;Ester 1_B;B;2026;0
SDO01;2240130;Ester 1_B;B;2027;0
SDO01;2240130;Ester 1_B;B;2028;0
SDO01;2240130;Ester 1_B;B;2029;0
SDO01;2240130;Ester 1_B;B;2030;0
SDO01;2240130;Ester 1_B;B;2031;0
SDO01;2240130;Ester 1_B;B;2032;0
SDO01;2240130;Ester 1_B;B;2033;0
SDO01;2240130;Ester 1_B;B;2034;0
SDO01;2240130;Freja_S;S;2025;2
SDO01;2240130;Freja_S;S;2026;0
SDO01;2240130;Freja_S;S;2027;0
SDO01;2240130;Freja_S;S;2028;0
SDO01;2240130;Freja_S;S;2029;0
SDO01;2240130;Freja_S;S;2030;0
