Undersokningsgrupp;PointNo;undersokningsbar;skrapsituation;veckodag;tackningsgrad;typmatyta;vader;klockslag;Datum;Temperatur;Lat;Lon;kommentar;OrganizationName;OrganizationId;Antal_Plast_Godis;Antal_Plast_Matforp;Antal_Plast_Mugg;Antal_Plast_Dryckforp;Antal_Plast_Pase;Antal_Plast_Snusdosa;Antal_Plast_Cellofan;Antal_Plast_Kork;Antal_Plast_Engangshandskar;Antal_Plast_Ovrigt;Antal_Papp_Godis;Antal_Papp_Matforp;Antal_Papp_Mugg;Antal_Papp_Dryckforp;Antal_Papp_Tidning;Antal_Papp_Cigg_tot;Antal_Papp_Ovrigt;Antal_Glas_Flaska;Antal_Glas_Trasigt;Antal_Glas_Ovrigt;Antal_Met_Burk;Antal_Met_Kapsyl;Antal_Met_Ovrigt;Antal_Org_Mat;Antal_Org_Fekalier;Antal_Org_Ovrigt;Antal_Annat_Fimp;Antal_Annat_Prilla;Antal_Annat_Tuggummi;Antal_Annat_Munskydd;Antal_Annat_Ovrigt
;1;Ja;Lätt nedskräpad.;Måndag;75%;Asfalt;Klart;12:43;2022-10-10 10:36;14,9;55.67342;13.07457;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
group1;2;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:43;2022-10-10 10:36;14,9;55.67356;13.07456;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;
group1;3;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:43;2022-10-10 10:36;14,9;55.67347;13.07558;;;LOMMA_LOMMASTATION140;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
group1;4;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:43;2022-10-10 10:36;14,9;55.67414;13.07466;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;
group1;5;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:43;2022-10-10 10:36;14,9;55.67324;13.07464;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;
group1;6;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Måndag;100%;Gräs;Klart;12:44;2022-10-10 10:36;14,9;55.67361;13.07532;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;7;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:44;2022-10-10 10:36;14,9;55.67357;13.07545;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
group1;8;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:44;2022-10-10 10:36;14,9;55.67421;13.07472;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;3;;;;2;;;;
group1;9;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Måndag;100%;Gräs;Klart;12:44;2022-10-10 10:36;14,9;55.67368;13.07532;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;10;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:44;2022-10-10 10:36;14,9;55.6744;13.07541;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;
;11;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:44;2022-10-10 10:36;14,9;55.67403;13.07485;;;LOMMA_LOMMASTATION140;;1;;;;;;;;2;;;;;;;;;;;;1;;;;;3;3;5;;
group1;12;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:45;2022-10-10 10:36;14,9;55.67408;13.07542;;;LOMMA_LOMMASTATION140;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;13;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:45;2022-10-10 10:36;14,9;55.67386;13.07524;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
group1;14;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Måndag;100%;Grus;Klart;12:45;2022-10-10 10:36;14,9;55.67361;13.07545;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
group1;15;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Måndag;100%;Asfalt;Klart;12:45;2022-10-10 10:36;14,9;55.67349;13.0745;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;16;Ja;Lätt nedskräpad.;Måndag;100%;Gräs;Klart;12:45;2022-10-10 10:36;14,9;55.674;13.07524;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
group1;17;Ja;Lätt nedskräpad.;Måndag;100%;Asfalt;Klart;12:46;2022-10-10 10:36;14,9;55.67331;13.07451;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
group1;18;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Måndag;100%;Asfalt;Klart;12:46;2022-10-10 10:36;14,9;55.67271;13.07543;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;19;Ja;Lätt nedskräpad.;Måndag;100%;Grus;Klart;12:46;2022-10-10 10:36;14,9;55.67386;13.0755;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;2;1;;;;2;;;;
group1;20;Ja;Lätt nedskräpad.;Måndag;50%;Asfalt;Klart;12:46;2022-10-10 10:36;14,9;55.6736;13.07462;;;LOMMA_LOMMASTATION140;;;;;;;;;;3;;;;;;;;;;;;;;;;;13;;2;;
group1;21;Ja;Lätt nedskräpad.;Tisdag;100%;Asfalt;Klart;16:08;2022-10-11 00:00;13,6;55.67356;13.07481;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;3;1;;12;;3;;
group1;22;Ja;Lätt nedskräpad.;Tisdag;100%;Asfalt;Klart;16:08;2022-10-11 00:00;13,6;55.6737;13.07455;;;LOMMA_LOMMASTATION140;;;;;;;;;;2;;;;;;;;;4;0;;;;;;;1;;1;;
group1;23;Ja;Lätt nedskräpad.;Tisdag;100%;Asfalt;Klart;16:09;2022-10-11 00:00;13,6;55.67342;13.07469;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;;3
group1;24;Ja;Lätt nedskräpad.;Tisdag;100%;Gräs;Klart;16:09;2022-10-11 00:00;13,6;55.67444;13.0756;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
group1;25;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Tisdag;100%;Gräs;Klart;16:09;2022-10-11 00:00;13,6;55.67433;13.07567;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;26;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Tisdag;100%;Asfalt;Klart;16:11;2022-10-11 00:00;13,6;55.67271;13.07536;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
