"Uudenmaan väestö äidinkielen, sukupuolen ja iän mukaan 31.12."

"Uppgifter","Språk","Kön","Ålder","2023"
"Helsinki","Totalt","Totalt","Väestö yhteensä",674500
"Helsinki","Totalt","Totalt","0-6-vuotiaat",42912
"Helsinki","Totalt","Totalt","7-12-vuotiaat",39357
"Helsinki","Totalt","Totalt","13-15-vuotiaat",19174
"Helsinki","Totalt","Totalt","16-18-vuotiaat",18432
"Helsinki","Totalt","Totalt","19-vuotiaat",6694
"Helsinki","Totalt","Totalt","20-29-vuotiaat",101366
"Helsinki","Totalt","Totalt","30-39-vuotiaat",120340
"Helsinki","Totalt","Totalt","40-49-vuotiaat",94770
"Helsinki","Totalt","Totalt","50-64-vuotiaat",112816
"Helsinki","Totalt","Totalt","65-74-vuotiaat",60762
"Helsinki","Totalt","Totalt","75-84-vuotiaat",43254
"Helsinki","Totalt","Totalt","Yli 65-vuotiaat",118639
"Helsinki","Totalt","Totalt","Yli 75-vuotiaat",57877
"Helsinki","Totalt","Totalt","Yli 85-vuotiaat",14623
"Helsinki","Totalt","Män","Väestö yhteensä",322067
"Helsinki","Totalt","Män","0-6-vuotiaat",22027
"Helsinki","Totalt","Män","7-12-vuotiaat",20173
"Helsinki","Totalt","Män","13-15-vuotiaat",9724
"Helsinki","Totalt","Män","16-18-vuotiaat",9178
"Helsinki","Totalt","Män","19-vuotiaat",3138
"Helsinki","Totalt","Män","20-29-vuotiaat",46658
"Helsinki","Totalt","Män","30-39-vuotiaat",60244
"Helsinki","Totalt","Män","40-49-vuotiaat",48899
"Helsinki","Totalt","Män","50-64-vuotiaat",54463
"Helsinki","Totalt","Män","65-74-vuotiaat",26475
"Helsinki","Totalt","Män","75-84-vuotiaat",16765
"Helsinki","Totalt","Män","Yli 65-vuotiaat",47563
"Helsinki","Totalt","Män","Yli 75-vuotiaat",21088
"Helsinki","Totalt","Män","Yli 85-vuotiaat",4323
"Helsinki","Totalt","Kvinnor","Väestö yhteensä",352433
"Helsinki","Totalt","Kvinnor","0-6-vuotiaat",20885
"Helsinki","Totalt","Kvinnor","7-12-vuotiaat",19184
"Helsinki","Totalt","Kvinnor","13-15-vuotiaat",9450
"Helsinki","Totalt","Kvinnor","16-18-vuotiaat",9254
"Helsinki","Totalt","Kvinnor","19-vuotiaat",3556
"Helsinki","Totalt","Kvinnor","20-29-vuotiaat",54708
"Helsinki","Totalt","Kvinnor","30-39-vuotiaat",60096
"Helsinki","Totalt","Kvinnor","40-49-vuotiaat",45871
"Helsinki","Totalt","Kvinnor","50-64-vuotiaat",58353
"Helsinki","Totalt","Kvinnor","65-74-vuotiaat",34287
"Helsinki","Totalt","Kvinnor","75-84-vuotiaat",26489
"Helsinki","Totalt","Kvinnor","Yli 65-vuotiaat",71076
"Helsinki","Totalt","Kvinnor","Yli 75-vuotiaat",36789
"Helsinki","Totalt","Kvinnor","Yli 85-vuotiaat",10300
"Helsinki","Suomi ja saame","Totalt","Väestö yhteensä",505778
"Helsinki","Suomi ja saame","Totalt","0-6-vuotiaat",29274
"Helsinki","Suomi ja saame","Totalt","7-12-vuotiaat",27061
"Helsinki","Suomi ja saame","Totalt","13-15-vuotiaat",13593
"Helsinki","Suomi ja saame","Totalt","16-18-vuotiaat",13076
"Helsinki","Suomi ja saame","Totalt","19-vuotiaat",4746
"Helsinki","Suomi ja saame","Totalt","20-29-vuotiaat",72335
"Helsinki","Suomi ja saame","Totalt","30-39-vuotiaat",82618
"Helsinki","Suomi ja saame","Totalt","40-49-vuotiaat",68655
"Helsinki","Suomi ja saame","Totalt","50-64-vuotiaat",90423
"Helsinki","Suomi ja saame","Totalt","65-74-vuotiaat",52843
"Helsinki","Suomi ja saame","Totalt","75-84-vuotiaat",38281
"Helsinki","Suomi ja saame","Totalt","Yli 65-vuotiaat",103997
"Helsinki","Suomi ja saame","Totalt","Yli 75-vuotiaat",51154
"Helsinki","Suomi ja saame","Totalt","Yli 85-vuotiaat",12873
"Helsinki","Suomi ja saame","Män","Väestö yhteensä",234635
"Helsinki","Suomi ja saame","Män","0-6-vuotiaat",15140
"Helsinki","Suomi ja saame","Män","7-12-vuotiaat",13872
"Helsinki","Suomi ja saame","Män","13-15-vuotiaat",6885
"Helsinki","Suomi ja saame","Män","16-18-vuotiaat",6429
"Helsinki","Suomi ja saame","Män","19-vuotiaat",2172
"Helsinki","Suomi ja saame","Män","20-29-vuotiaat",31878
"Helsinki","Suomi ja saame","Män","30-39-vuotiaat",39831
"Helsinki","Suomi ja saame","Män","40-49-vuotiaat",34390
"Helsinki","Suomi ja saame","Män","50-64-vuotiaat",43023
"Helsinki","Suomi ja saame","Män","65-74-vuotiaat",22749
"Helsinki","Suomi ja saame","Män","75-84-vuotiaat",14560
"Helsinki","Suomi ja saame","Män","Yli 65-vuotiaat",41015
"Helsinki","Suomi ja saame","Män","Yli 75-vuotiaat",18266
"Helsinki","Suomi ja saame","Män","Yli 85-vuotiaat",3706
"Helsinki","Suomi ja saame","Kvinnor","Väestö yhteensä",271143
"Helsinki","Suomi ja saame","Kvinnor","0-6-vuotiaat",14134
"Helsinki","Suomi ja saame","Kvinnor","7-12-vuotiaat",13189
"Helsinki","Suomi ja saame","Kvinnor","13-15-vuotiaat",6708
"Helsinki","Suomi ja saame","Kvinnor","16-18-vuotiaat",6647
"Helsinki","Suomi ja saame","Kvinnor","19-vuotiaat",2574
"Helsinki","Suomi ja saame","Kvinnor","20-29-vuotiaat",40457
"Helsinki","Suomi ja saame","Kvinnor","30-39-vuotiaat",42787
"Helsinki","Suomi ja saame","Kvinnor","40-49-vuotiaat",34265
"Helsinki","Suomi ja saame","Kvinnor","50-64-vuotiaat",47400
"Helsinki","Suomi ja saame","Kvinnor","65-74-vuotiaat",30094
"Helsinki","Suomi ja saame","Kvinnor","75-84-vuotiaat",23721
"Helsinki","Suomi ja saame","Kvinnor","Yli 65-vuotiaat",62982
"Helsinki","Suomi ja saame","Kvinnor","Yli 75-vuotiaat",32888
"Helsinki","Suomi ja saame","Kvinnor","Yli 85-vuotiaat",9167
"Helsinki","Ruotsi","Totalt","Väestö yhteensä",36844
"Helsinki","Ruotsi","Totalt","0-6-vuotiaat",3086
"Helsinki","Ruotsi","Totalt","7-12-vuotiaat",2592
"Helsinki","Ruotsi","Totalt","13-15-vuotiaat",1251
"Helsinki","Ruotsi","Totalt","16-18-vuotiaat",1115
"Helsinki","Ruotsi","Totalt","19-vuotiaat",423
"Helsinki","Ruotsi","Totalt","20-29-vuotiaat",6436
"Helsinki","Ruotsi","Totalt","30-39-vuotiaat",5112
"Helsinki","Ruotsi","Totalt","40-49-vuotiaat",3949
"Helsinki","Ruotsi","Totalt","50-64-vuotiaat",4887
"Helsinki","Ruotsi","Totalt","65-74-vuotiaat",3227
"Helsinki","Ruotsi","Totalt","75-84-vuotiaat",3428
"Helsinki","Ruotsi","Totalt","Yli 65-vuotiaat",7993
"Helsinki","Ruotsi","Totalt","Yli 75-vuotiaat",4766
"Helsinki","Ruotsi","Totalt","Yli 85-vuotiaat",1338
"Helsinki","Ruotsi","Män","Väestö yhteensä",17975
"Helsinki","Ruotsi","Män","0-6-vuotiaat",1522
"Helsinki","Ruotsi","Män","7-12-vuotiaat",1288
"Helsinki","Ruotsi","Män","13-15-vuotiaat",613
"Helsinki","Ruotsi","Män","16-18-vuotiaat",566
"Helsinki","Ruotsi","Män","19-vuotiaat",178
"Helsinki","Ruotsi","Män","20-29-vuotiaat",3117
"Helsinki","Ruotsi","Män","30-39-vuotiaat",2629
"Helsinki","Ruotsi","Män","40-49-vuotiaat",2131
"Helsinki","Ruotsi","Män","50-64-vuotiaat",2430
"Helsinki","Ruotsi","Män","65-74-vuotiaat",1563
"Helsinki","Ruotsi","Män","75-84-vuotiaat",1468
"Helsinki","Ruotsi","Män","Yli 65-vuotiaat",3501
"Helsinki","Ruotsi","Män","Yli 75-vuotiaat",1938
"Helsinki","Ruotsi","Män","Yli 85-vuotiaat",470
"Helsinki","Ruotsi","Kvinnor","Väestö yhteensä",18869
"Helsinki","Ruotsi","Kvinnor","0-6-vuotiaat",1564
"Helsinki","Ruotsi","Kvinnor","7-12-vuotiaat",1304
"Helsinki","Ruotsi","Kvinnor","13-15-vuotiaat",638
"Helsinki","Ruotsi","Kvinnor","16-18-vuotiaat",549
"Helsinki","Ruotsi","Kvinnor","19-vuotiaat",245
"Helsinki","Ruotsi","Kvinnor","20-29-vuotiaat",3319
"Helsinki","Ruotsi","Kvinnor","30-39-vuotiaat",2483
"Helsinki","Ruotsi","Kvinnor","40-49-vuotiaat",1818
"Helsinki","Ruotsi","Kvinnor","50-64-vuotiaat",2457
"Helsinki","Ruotsi","Kvinnor","65-74-vuotiaat",1664
"Helsinki","Ruotsi","Kvinnor","75-84-vuotiaat",1960
"Helsinki","Ruotsi","Kvinnor","Yli 65-vuotiaat",4492
"Helsinki","Ruotsi","Kvinnor","Yli 75-vuotiaat",2828
"Helsinki","Ruotsi","Kvinnor","Yli 85-vuotiaat",868
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","Väestö yhteensä",131878
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","0-6-vuotiaat",10552
"Helsinki","FRÄMMANDE SPRÅK TOTALT","Totalt","7-12-vuotiaat",9704
