Region;Brott;Period;År;Antal;/100 000 inv
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;3 kap. Brott mot liv och hälsa;År;2020;176;553
Ale kommun;3 kap. Brott mot liv och hälsa;År;2021;145;454
Ale kommun;3 kap. Brott mot liv och hälsa;År;2022;156;483
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;4 kap. Brott mot frihet och frid;År;2020;311;978
Ale kommun;4 kap. Brott mot frihet och frid;År;2021;342;1070
Ale kommun;4 kap. Brott mot frihet och frid;År;2022;335;1038
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;5 kap. Ärekränkningsbrott;År;2020;20;63
Ale kommun;5 kap. Ärekränkningsbrott;År;2021;20;63
Ale kommun;5 kap. Ärekränkningsbrott;År;2022;27;84
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;6 kap. Sexualbrott;År;2020;36;113
Ale kommun;6 kap. Sexualbrott;År;2021;35;110
Ale kommun;6 kap. Sexualbrott;År;2022;50;155
Ale kommun;3-7 kap. Brott mot person;År;2020;..;..
Ale kommun;3-7 kap. Brott mot person;År;2021;..;..
Ale kommun;3-7 kap. Brott mot person;År;2022;..;..
Ale kommun;7 kap. Brott mot familj;År;2020;8;25
Ale kommun;7 kap. Brott mot familj;År;2021;3;9
Ale kommun;7 kap. Brott mot familj;År;2022;3;9
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2020;203;488
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2021;239;573
Alingsås kommun;3 kap. Brott mot liv och hälsa;År;2022;236;562
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2020;375;901
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2021;408;977
Alingsås kommun;4 kap. Brott mot frihet och frid;År;2022;366;871
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2020;28;67
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2021;29;69
Alingsås kommun;5 kap. Ärekränkningsbrott;År;2022;38;90
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;6 kap. Sexualbrott;År;2020;60;144
Alingsås kommun;6 kap. Sexualbrott;År;2021;83;199
Alingsås kommun;6 kap. Sexualbrott;År;2022;80;190
Alingsås kommun;3-7 kap. Brott mot person;År;2020;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2021;..;..
Alingsås kommun;3-7 kap. Brott mot person;År;2022;..;..
Alingsås kommun;7 kap. Brott mot familj;År;2020;4;10
Alingsås kommun;7 kap. Brott mot familj;År;2021;3;7
Alingsås kommun;7 kap. Brott mot familj;År;2022;9;21
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2020;160;791
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2021;131;647
Alvesta kommun;3 kap. Brott mot liv och hälsa;År;2022;127;626
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2020;189;935
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2021;186;918
Alvesta kommun;4 kap. Brott mot frihet och frid;År;2022;196;967
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2020;12;59
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2021;14;69
Alvesta kommun;5 kap. Ärekränkningsbrott;År;2022;9;44
Alvesta kommun;3-7 kap. Brott mot person;År;2020;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2021;..;..
Alvesta kommun;3-7 kap. Brott mot person;År;2022;..;..
