Time (EDT)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Thu 13:40:33    Departure (ARN) @ Thursday 19:40:33 CEST			 FlightAware ADS-B (ESHK)
Thu 13:40:33	59.6361	17.9130	↓ 190°	162	186	206	 Level	 FlightAware ADS-B (ESHK)
Thu 13:40:49	59.6240	17.9084	↓ 193°	167	192	419	600 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:41:05	59.6134	17.8944	↙ 229°	177	204	526	457 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:41:21	59.6056	17.8717	↙ 237°	192	221	663	614 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:41:37	59.5973	17.8467	↙ 237°	201	231	853	739 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:42:00	59.5857	17.8108	↙ 240°	208	239	1,143	722 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:42:27	59.5735	17.7631	↙ 243°	222	255	1,455	576 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:42:46	59.5675	17.7266	← 262°	239	275	1,585	551 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:43:06	59.5680	17.6814	← 273°	251	289	1,814	814 Climbing	 FlightAware ADS-B (ESHY)
Thu 13:43:36	59.5699	17.6113	← 273°	261	300	2,263	914 Climbing	 FlightAware ADS-B (ARN / ESSA)
Thu 13:43:54	59.5704	17.5686	← 269°	262	302	2,545	914 Climbing	 FlightAware ADS-B (ESSE)
Thu 13:44:21	59.5628	17.5025	← 255°	274	315	2,949	746 Climbing	 FlightAware ADS-B (BLE / ESSD)
Thu 13:44:51	59.5530	17.4318	← 255°	293	337	3,254	457 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:45:21	59.5414	17.3478	← 255°	331	381	3,406	290 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:45:51	59.5284	17.2549	← 255°	364	419	3,543	290 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:46:21	59.5142	17.1551	← 254°	389	448	3,696	549 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:46:51	59.4993	17.0511	← 254°	390	449	4,092	632 Climbing	 FlightAware ADS-B (ESHL)
Thu 13:47:21	59.4848	16.9492	← 254°	401	461	4,328	495 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:47:51	59.4697	16.8436	← 254°	410	472	4,587	556 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:48:21	59.4537	16.7336	← 254°	415	478	4,884	632 Climbing	 FlightAware ADS-B (GVX / ESSK)
Thu 13:48:51	59.4380	16.6258	← 254°	414	476	5,220	594 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:49:21	59.4217	16.5150	← 254°	420	483	5,479	488 Climbing	 FlightAware ADS-B (ESHL)
Thu 13:49:51	59.4060	16.4083	← 254°	426	490	5,707	475 Climbing	 FlightAware ADS-B (ESIA)
Thu 13:50:13	59.3916	16.3218	← 248°	430	495	5,890	450 Climbing	 FlightAware ADS-B (ESSC)
Thu 13:50:55	59.3529	16.1808	↙ 241°	440	506	6,187	438 Climbing	 FlightAware ADS-B (JKG / ESGJ)
Thu 13:51:25	59.3225	16.0750	↙ 241°	443	510	6,416	442 Climbing	 FlightAware ADS-B (KSK / ESKK)
Thu 13:51:55	59.2932	15.9737	↙ 240°	446	513	6,629	381 Climbing	 FlightAware ADS-B (BMA / ESSB)
Thu 13:52:25	59.2608	15.8622	↙ 240°	452	520	6,797	381 Climbing	 FlightAware ADS-B (GVX / ESSK)
