Kommun,Tjänstemän på kommunhuset,Undersköterskor,Förskolepersonal,Läns-/kommunkod,Länstillhörighet,Namn,E-post,Telefon,Webbadress,Postaddress 1,Postnr,Ort
ale kommun,Ja,Ja,Ja,1440,14,ale kommun,kommun@ale.se,0303-70 30 00,http://www.ale.se,,44980,ALAFORS
alingsås kommun,Nej,Nej,Nej,1489,14,alingsås kommun,kommunstyrelsen@alingsas.se,0322-616000,http://www.alingsas.se,,44181,ALINGSÅS
alvesta kommun,Ja,Ja,Ja,764,7,alvesta kommun,klk@alvesta.se,0472-15000,http://www.alvesta.se,,34280,ALVESTA
aneby kommun,Ja,Ja,Ja,604,6,aneby kommun,info@aneby.se,0380-461 00,http://www.aneby.se,Box 53,57822,ANEBY
arboga kommun,Ja,Ja,Ja,1984,19,arboga kommun,arboga.kommun@arboga.se,0589-87000,http://www.arboga.se,Box 45,73221,ARBOGA
arjeplogs kommun,Ja,Ja,Ja,2506,25,arjeplogs kommun,kommun@arjeplog.se,0961-140 00,http://www.arjeplog.se,,93881,ARJEPLOG
arvidsjaurs kommun,Ja,Ja,Ja,2505,25,arvidsjaurs kommun,kommun@arvidsjaur.se,0960-15500,http://www.arvidsjaur.se,,93381,ARVIDSJAUR
arvika kommun,Nej,Nej,Nej,1784,17,arvika kommun,arvika.kommun@arvika.se,0570-816 00,http://www.arvika.se,,67181,ARVIKA
askersunds kommun,Ja,Ja,Ja,1882,18,askersunds kommun,kommun@askersund.se,0583-81000,http://www.askersund.se,,69682,ASKERSUND
avesta kommun,Ja,Ja,Ja,2084,20,avesta kommun,kommun@avesta.se,0226-645000,http://www.avesta.se,,77481,AVESTA
bengtsfors kommun,Nej,Nej,Nej,1460,14,bengtsfors kommun,kommun@bengtsfors.se,0531-526000,http://www.bengtsfors.se,Box 14,66621,BENGTSFORS
bergs kommun,Nej,Nej,Nej,2326,23,bergs kommun,bergs.kommun@berg.se,0687-161 00,http://www.berg.se,Box 73,84521,SVENSTAVIK
bjurholms kommun,Ej svar,Ej svar,Ej svar,2403,24,bjurholms kommun,kommunen@bjurholm.se,0932-14000,http://www.bjurholm.se,,91681,BJURHOLM
bjuvs kommun,Ja,Ja,Ja,1260,12,bjuvs kommun,info@bjuv.se,042-4585000,http://www.bjuv.se,Box 501,26725,BJUV
bodens kommun,Ja,Ja,Ja,2582,25,bodens kommun,kommunen@boden.se,0921-62000,http://www.boden.se,,96186,BODEN
bollebygds kommun,Ej svar,Ej svar,Ej svar,1443,14,bollebygds kommun,kommunen@bollebygd.se,033-23 13 00,http://www.bollebygd.se,,51783,BOLLEBYGD
bollnäs kommun,Nej,Ja,Vet inte,2183,21,bollnäs kommun,bollnas@bollnas.se,0278-25000,http://www.bollnas.se,,82180,BOLLNÄS
borgholms kommun,Ja,Ja,Ja,885,8,borgholms kommun,kommun@borgholm.se,0485-88000,http://www.borgholm.se,Box 52,38721,BORGHOLM
borlänge kommun,Ja,Ja,Ja,2081,20,borlänge kommun,kommun@borlange.se,0243-74000,http://www.borlange.se,,78181,BORLÄNGE
borås stad,Ja,Ja,Ja,1490,14,borås stad,boras.stad@boras.se,033-357000,http://www.boras.se,,50180,BORÅS
botkyrka kommun,Ja,Ja,Ja,127,1,botkyrka kommun,medborgarcenter@botkyrka.se,08-530 610 00,http://www.botkyrka.se,,14785,TUMBA
boxholms kommun,Ej svar,Ej svar,Ej svar,560,5,boxholms kommun,kommun@boxholm.se,0142-89500,http://www.boxholm.se,Box 79,59010,BOXHOLM
bromölla kommun,Ja,Ja,Ja,1272,12,bromölla kommun,kommunstyrelsen@bromolla.se,0456-822000,http://www.bromolla.se,Box 18,29521,BROMÖLLA
bräcke kommun,Nej,Nej,Nej,2305,23,bräcke kommun,bracke@bracke.se,0693-16100,http://www.bracke.se,Box 190,84060,BRÄCKE
burlövs kommun,Ja,Ja,Ja,1231,12,burlövs kommun,burlovs.kommun@burlov.se,040-625 60 00,http://www.burlov.se,Box 53,23221,ARLÖV
båstads kommun,Nej,Nej,Nej,1278,12,båstads kommun,bastads.kommun@bastad.se,0431-77000,http://www.bastad.se,,26980,BÅSTAD
dals-eds kommun,Nej,Nej,Nej,1438,14,dals-eds kommun,kommun@dalsed.se,0534-190 00,http://www.dalsed.se,Box 31,66821,ED
danderyds kommun,Ja,Ja,Ja,162,1,danderyds kommun,kommunen@danderyd.se,08-568 910 00,http://www.danderyd.se,Box 66,18205,DJURSHOLM
degerfors kommun,Ja,Ja,Ja,1862,18,degerfors kommun,kommun@degerfors.se,0586-48100,http://www.degerfors.se,,69380,DEGERFORS
dorotea kommun,Nej,Nej,Nej,2425,24,dorotea kommun,info@dorotea.se,0942-14000,http://www.dorotea.se,,91781,DOROTEA
eda kommun,Nej,Nej,Nej,1730,17,eda kommun,kommun@eda.se,0571-281 00,http://www.eda.se,Box 66,67322,CHARLOTTENBERG
ekerö kommun,Ja,Ja,Ja,125,1,ekerö kommun,info@ekero.se,08-124 571 00,http://www.ekero.se,Box 205,17823,EKERÖ
eksjö kommun,Ja,Ja,Ja,686,6,eksjö kommun,kommun@eksjo.se,0381-36000,http://www.eksjo.se,,57580,EKSJÖ
emmaboda kommun,Nej,Vet inte,Vet inte,862,8,emmaboda kommun,kommunen@emmaboda.se,0471-24 90 00,http://www.emmaboda.se,Box 54,36121,EMMABODA
enköpings kommun,Ja,Ja,Ja,381,3,enköpings kommun,kommunen@enkoping.se,0171-62 50 00,http://www.enkoping.se,,74580,ENKÖPING
eskilstuna kommun,Ja,Ja,Ja,484,4,eskilstuna kommun,eskilstuna.kommun@eskilstuna.se,016-710 10 00,http://www.eskilstuna.se/,,63186,ESKILSTUNA
eslövs kommun,Ja,Ja,Ja,1285,12,eslövs kommun,kommunen@eslov.se,0413-620 00,http://www.eslov.se,,24180,ESLÖV
essunga kommun,Ja,Ja,Ja,1445,14,essunga kommun,kommun@essunga.se,0512-57000,http://www.essunga.se,,46582,NOSSEBRO
fagersta kommun,Ja,Ja,Ja,1982,19,fagersta kommun,info@fagersta.se,0223-44000,http://www.fagersta.se,,73780,FAGERSTA
falkenbergs kommun,Vet inte,Vet inte,Vet inte,1382,13,falkenbergs kommun,kommun@falkenberg.se,0346-886000,http://www.falkenberg.se,,31180,FALKENBERG
falköpings kommun,Ja,Vet inte,Vet inte,1499,14,falköpings kommun,kommunen@falkoping.se,0515-885000,http://www.falkoping.se,,52181,FALKÖPING
falu kommun,Ja,Ja,Ja,2080,20,falu kommun,kontaktcenter@falun.se,023-830 00,http://www.falun.se,,79183,FALUN
filipstads kommun,Ja,Ja,Ja,1782,17,filipstads kommun,kommun@filipstad.se,0590-61100,http://www.filipstad.se,Box 303,68227,FILIPSTAD
finspångs kommun,Nej,Ja,Ja,562,5,finspångs kommun,kommun@finspang.se,0122-85000,http://www.finspang.se,,61280,FINSPÅNG
flens kommun,Ja,Ja,Ja,482,4,flens kommun,flenskommun@flen.se,0157-43 00 00,http://www.flen.se,,64281,FLEN
forshaga kommun,Nej,Nej,Nej,1763,17,forshaga kommun,kommun@forshaga.se,054-172000,http://www.forshaga.se,Box 93,66722,FORSHAGA
färgelanda kommun,Nej,Nej,Nej,1439,14,färgelanda kommun,kommun@fargelanda.se,0528-567000,http://www.fargelanda.se,,45880,FÄRGELANDA
gagnefs kommun,Nej,Nej,Nej,2026,20,gagnefs kommun,registrator@gagnef.se,0241-15100,http://www.gagnef.se,,78580,GAGNEF
gislaveds kommun,Ja,Ja,Ja,662,6,gislaveds kommun,kommunen@gislaved.se,0371-81000,http://www.gislaved.se,,33280,GISLAVED
gnesta kommun,Ja,Ja,Ja,461,4,gnesta kommun,gnesta.kommun@gnesta.se,0158-27 50 00,http://www.gnesta.se,,64680,GNESTA
gnosjö kommun,Nej,Nej,Nej,617,6,gnosjö kommun,kommun@gnosjo.se,0370-331000,http://www.gnosjo.se,,33580,GNOSJÖ
grums kommun,Nej,Nej,Nej,1764,17,grums kommun,kommunstyrelse@grums.se,0555-42000,http://www.grums.se,,66480,GRUMS
grästorps kommun,Ej svar,Ej svar,Ej svar,1444,14,grästorps kommun,kommun@grastorp.se,0514-58000,http://www.grastorp.se,,46780,GRÄSTORP
gullspångs kommun,Ej svar,Ej svar,Ej svar,1447,14,gullspångs kommun,kommun@gullspang.se,0506-36000,http://www.gullspang.se,Box 80,54822,HOVA
gällivare kommun,Ja,Ja,Ja,2523,25,gällivare kommun,post@gallivare.se,0970-81 80 00,http://www.gellivare.se,,98281,GÄLLIVARE
gävle kommun,Ja,Ja,Ja,2180,21,gävle kommun,gavle.kommun@gavle.se,026-17 80 00,http://www.gavle.se,,80184,GÄVLE
göteborgs stad,Ja,Ja,Ja,1480,14,göteborgs stad,stadsledningskontoret@stadshuset.goteborg.se,031-365 00 00,http://www.goteborg.se,,40482,GÖTEBORG
götene kommun,Ej svar,Ej svar,Ej svar,1471,14,götene kommun,gotene.kommun@gotene.se,0511-38 60 00,http://www.gotene.se,,53380,GÖTENE
habo kommun,Ej svar,Ej svar,Ej svar,643,6,habo kommun,info@habokommun.se,036-4428000,http://www.habokommun.se,Box 212,56624,HABO
hagfors kommun,Ja,Ja,Ja,1783,17,hagfors kommun,kommun@hagfors.se,0563-185 00,http://www.hagfors.se,,68380,HAGFORS
hallsbergs kommun,Nej,Nej,Nej,1861,18,hallsbergs kommun,kommun@hallsberg.se,0582-685000,http://www.hallsberg.se,,69480,HALLSBERG
hallstahammars kommun,Ja,Ja,Ja,1961,19,hallstahammars kommun,kommun@hallstahammar.se,0220-24000,http://www.hallstahammar.se,,73480,HALLSTAHAMMAR
