municipalityId,municipalityCode,name,email,domain,server,siteVisionDetected,cms,slug,landAreaSquareKilometers,waterAreaSquareKilometers,numberOfVendorInvoices,lastUpdatedAtUtc,bank,excessLiquidityPlaced,municipalityType,municipalityRegistrationNumber
1,1440,Ale,kommun@ale.se,ale.se,,False,Sitevision,ale,317.0,15.12,93180,2023-11-20T12:53:58,Swedbank,Affärskonto utan intäktsränta.,0,2120001439
2,1489,Alingsås,kommun@alingsas.se,alingsas.se,Apache/2.4.54 (FreeBSD) OpenSSL/1.1.1l-freebsd PHP/8.0.24,False,Wordpress,alingsas,472.07,79.17,95541,2023-11-20T12:53:58,Sparbanken Alingsås,Bankkonto med ca 3%.,0,2120001553
3,0764,Alvesta,kommunen@alvesta.se,alvesta.se,Microsoft-IIS/10.0,False,Optimizely CMS,alvesta,973.96,100.45,114847,2023-11-20T12:53:58,,,0,2120000639
4,0604,Aneby,info@aneby.se,aneby.se,,False,Sitevision,aneby,517.72,36.18,26685,2023-11-20T12:53:58,Nordea,Koncernvalutakonto följer Stibor.,0,2120000498
5,1984,Arboga,arboga.kommun@arboga.se,arboga.se,,True,Sitevision,arboga,325.45,93.94,31547,2023-11-20T12:53:58,,,0,2120002122
6,2506,Arjeplog,medborgarservice@arjeplog.se,arjeplog.se,,True,Sitevision,arjeplog,12556.87,1937.35,13425,2023-11-20T12:53:58,Pitedalens Sparbank,"Affärskonto ska finansiera årets planerade investeringar 46,5 Mkr",0,2120002668
7,2505,Arvidsjaur,kommun@arvidsjaur.se,arvidsjaur.se,Microsoft-IIS/8.5,False,Epi-Server och ImageVoult,arvidsjaur,5655.44,470.85,35774,2023-11-20T12:53:58,Sparbanken Nord,Bankkonto,0,2120002650
8,1784,Arvika,kundtjanst@arvika.se,arvika.se,,True,Sitevision,arvika,1648.98,307.13,82707,2023-11-20T12:53:58,,,0,2120001892
9,1882,Askersund,kommun@askersund.se,askersund.se,,True,Sitevision,askersund,816.71,203.04,46763,2023-11-20T12:53:58,Swedbank,Värdepapper och affärskonto med ränta enl VECI/VECU,0,2120001983
10,2084,Avesta,servicecenter@avesta.se,avesta.se,Microsoft-IIS/8.5,False,Optimizely CMS,avesta,613.17,55.79,59334,2023-11-20T12:53:58,Swedbank,Affärskonto enligt VECI,0,2120002262
11,1460,Bengtsfors,kommun@bengtsfors.se,bengtsfors.se,,True,Sitevision,bengtsfors,882.99,176.19,38727,2023-11-20T12:53:58,Dalslands Sparbank,"Bankkonto med 3,84% ränta",0,2120001470
12,2326,Berg,bergs.kommun@berg.se,berg.se,,False,Sitevision,berg,5710.25,435.13,24732,2023-11-20T12:53:58,Swedbank,Affärskonto med ränta,0,2120002502
13,2403,Bjurholm,kommunen@bjurholm.se,bjurholm.se,,False,Sitevision,bjurholm,1306.72,57.04,17154,2023-11-20T12:53:58,,,0,2120002833
14,1260,Bjuv,info@bjuv.se,bjuv.se,,True,Sitevision,bjuv,115.31,0.5,61405,2023-11-20T12:53:58,Swedbank,Påstår att man inte har någon överskottslikviditet.,0,2120001041
15,2582,Boden,kommunen@boden.se,boden.se,,False,Wordpress,boden,4013.88,277.55,153692,2023-11-20T12:53:58,Nordea,Valutakonton och räntekonto med NSSI Stiborbas på båda kontona. Samt räntefonder,0,2120002767
16,1443,Bollebygd,kommunen@bollebygd.se,bollebygd.se,,True,Sitevision,bollebygd,263.31,19.1,24187,2023-11-20T12:53:58,Sparbanken Sjuhärad AB,Affärskonto ca 3%,0,2120002973
17,2183,Bollnäs,kundcenter@bollnas.se,bollnas.se,,True,Sitevision,bollnas,1814.05,162.59,79439,2023-11-20T12:53:58,Nordea,"Affärskonto 0,401%",0,2120002361
18,0885,Borgholm,kommun@borgholm.se,borgholm.se,nginx,False,Wordpress,borgholm,676.98,2981.73,65247,2023-11-20T12:53:58,Swedbank,Bankkonto med intäktränta,0, 2120000795
19,2081,Borlänge,kommun@borlange.se,borlange.se,,False,Sitevision,borlange,583.87,51.98,174555,2023-11-20T12:53:58,,,0,2120002056
20,1490,Borås,boras.stad@boras.se,boras.se,,True,Sitevision,boras,909.88,57.65,428093,2023-11-20T12:53:58,Nordea,"Placeringa i räntefonder och bankkontot med ränta på 4,104%",0,2120001561
21,0127,Botkyrka,medborgarcenter@botkyrka.se,botkyrka.se,,True,Sitevision,botkyrka,194.04,28.21,0,2023-11-20T12:53:58,Swedbank,Bankkonto med ränta enligt VECI,0,2120002882
22,0560,Boxholm,kommun@boxholm.se,boxholm.se,,True,Sitevision,boxholm,525.73,78.13,0,2023-11-20T12:53:58,,,0,2120000407
23,1272,Bromölla,kommunstyrelsen@bromolla.se,bromolla.se,Microsoft-IIS/10.0,False,Optimizely CMS,bromolla,162.54,34.61,0,2023-11-20T12:53:58,Ivetofta Sparbank,Affärskonto,0,2120000894
24,2305,Bräcke,bracke@bracke.se,bracke.se,,True,Sitevision,bracke,3408.1,375.53,31221,2023-11-20T12:53:58,Swedbank,Affärskonto med ränta enl VECI,0,2120002460
25,1231,Burlöv,burlovs.kommun@burlov.se,burlov.se,,True,Sitevision,burlov,18.9,0.31,69883,2023-11-20T12:53:58,Nordea,"Räntekonto med dagens ränta ca 3,6%",0,2120001025
26,1278,Båstad,bastads.kommun@bastad.se,bastad.se,nginx/1.18.0 (Ubuntu),False,Wordpress,bastad,217.1,664.81,67411,2023-11-20T12:53:58,,,0,2120000944
27,1438,Dals-Ed,kommun@dalsed.se,dalsed.se,,False,Umbraco,dals-ed,724.33,101.11,30650,2023-11-20T12:53:58,Dalslands Sparbank,"Bankkonto med rörlig ränta ca 3,8%",0, 2120001413
28,0162,Danderyd,danderyd.se,danderyd.se,,False,Optimizely CMS,danderyd,26.37,6.3,84418,2023-11-20T12:53:58,,,0, 2120000126
29,1862,Degerfors,kommun@degerfors.se,degerfors.se,,False,Sitevision,degerfors,383.94,49.76,50482,2023-11-20T12:53:58,,,0,2120001934
