Kommun_namn,Rank_2023,Summa_robusthetsanalys
Nacka,1,129
Täby,2,128
Kungsbacka,3,125
Österåker,4,122
Staffanstorp,4,122
Lerum,6,121
Kungälv,7,120
Vellinge,7,120
Sundbyberg,9,119
Mölndal,10,118
Solna,10,118
Vallentuna,12,117
Varberg,12,117
Härryda,12,117
Lidingö,15,116
Ekerö,15,116
Partille,15,116
Tyresö,18,115
Alingsås,18,115
Sollentuna,18,115
Kävlinge,21,114
Knivsta,21,114
Stockholm,23,113
Lomma,23,113
Uppsala,25,112
Mörbylånga,26,111
Ängelholm,26,111
Umeå,28,110
Jönköping,28,110
Värmdö,28,110
Hammarö,31,109
Karlstad,31,109
Falun,31,109
Ale,31,109
Kalmar,31,109
Ystad,36,108
Östersund,36,108
Malmö,36,108
Upplands Väsby,36,108
Stenungsund,36,108
Svedala,36,108
Nykvarn,42,107
Göteborg,42,107
Habo,42,107
Krokom,45,106
Huddinge,46,105
Järfälla,46,105
Växjö,48,104
Haninge,48,104
Skellefteå,50,103
Borås,50,103
Lund,50,103
Åre,53,101
Båstad,53,101
Håbo,53,101
Strängnäs,56,100
Västerås,56,100
Piteå,58,99
Luleå,58,99
Tjörn,58,99
Höör,58,99
Linköping,58,99
Skurup,63,98
Lidköping,63,98
Vaxholm,63,98
Söderköping,63,98
Bollebygd,63,98
Höganäs,63,98
Karlskrona,69,97
Sigtuna,69,97
Trelleborg,69,97
Trosa,72,96
Leksand,72,96
Danderyd,72,96
Älmhult,72,96
Enköping,72,96
Örebro,77,95
Skövde,77,95
Helsingborg,77,95
Salem,77,95
Norrköping,81,94
Gävle,81,94
Halmstad,81,94
Upplands-Bro,81,94
Mark,85,93
Ulricehamn,85,93
Värnamo,85,93
Vårgårda,88,92
Norrtälje,88,92
Uddevalla,90,91
Falkenberg,90,91
Orust,92,90
Sundsvall,92,90
Mjölby,92,90
Trollhättan,92,90
Vaggeryd,96,89
Södertälje,96,89
Öckerö,96,89
Mora,96,89
Gotland,96,89
Lekeberg,101,88
Hudiksvall,102,87
Gnesta,102,87
Landskrona,102,87
Botkyrka,105,86
Kiruna,105,86
