Datum/Klockslag,Titel,Beskrivning
2024-03-06T10:29:24+01:00,Välkommen på vårbasar på Möteplats Havsblick!,Onsdag 20 mars kl. 11.00-15.00 anordnar Mötesplats Havblick vårbasar. På plats finns flera utställare och försäljare.
2024-03-06T08:32:45+01:00,Stöd för anhöriga under våren,"Hjälper du någon i din närhet som är äldre eller långvarigt sjuk, fysiskt eller psykiskt? Då kan du få hjälp av Anhörigstödet. Välkommen till våra informations- och gruppträffar!"
2024-03-04T16:10:45+01:00,Kommunstyrelsen behandlade ärenden om folkomröstning,Kommunstyrelsen hade sammanträde den 28 februari. Några av ärendena handlade om eventuell folkomröstning när det gäller gymnasieskola och nytt kommunhus samt intaget till förskoleklass. Här följer en sammanfattning av dessa ärenden.
2024-03-04T08:00:00+01:00,Tyck till om äldreomsorgen!,I mitten av mars 2024 skickar Socialstyrelsen ut undersökningen ”Vad tycker de äldre om äldreomsorgen?” till dig som är 65 år eller äldre och som är beviljad hemtjänst eller särskilt boende.
2024-03-01T14:47:24+01:00,Återbruk i fokus vid nedmonteringen av kommunhuset,"Under nästa vecka sätts byggstaket upp runt kommunhuskvarteret och nedmontering av byggnaderna kan gå in i nästa fas. Det ligger stort fokus på återbruk, både vad gäller interiörer och byggnadsmaterial, under nedmonteringen som pågår fram till sommaren."
2024-03-01T08:15:28+01:00,Interaktion över generationsgränserna,Lärkans förskola har under hösten haft ett samarbete med träffpunkten på Jonasgården i Bjärred. Tio femåringar besökte sex äldre damer från träffpunkten på Jonasgården för att främja möten över generationsgränserna.
2024-02-29T08:30:00+01:00,Öppna data tillgänglig för alla,Sedan hösten 2022 har Lomma kommun arbetar med att publicera delar av kommunens data som öppna data. Det betyder att det är fritt för den som vill att återanvända data på det sätt man vill. Via vår hemsida kan du enkelt ladda ner olika data och hittills har statistiken för matsvinn i skolorna varit mest populär.
2024-02-27T11:16:45+01:00,Till sommaren bygger vi en ny idrottshall,Med start i maj 2024 påbörjar vi byggnation av en ny fullskalig idrottshall på Karstorps skolområde. I anslutning till hallen bygger vi även en skejtboardpark. Projektet förväntas vara klart till årsskiftet 2025/2026.
2024-02-26T08:00:00+01:00,Många fördelar att betala via e-faktura,Vi strävar efter att agera hållbart och minska vår pappersanvändning. Ett enkelt sätt för dig som kommuninvånare eller vårdnadshavare att bidra till denna insats är att byta från pappersfakturor till e-faktura.
2024-02-26T08:00:00+01:00,Det digitala stödet BOET utvecklas,"Strandvägens serviceboende var 2022 först ut med implementeringen av ett nytt digitalt planeringsverktyg, kallat Boet. Nu är det dags för de övriga gruppbostäderna i kommunen att följa i samma spår."
2024-02-24T12:08:21+01:00,Lomma flaggar till stöd för Ukraina,Lördagen den 24 februari hissas den ukrainska flaggan utanför medborgarhuset i Bjärred för att visa stöd för Ukraina och landets befolkning.
2024-02-23T08:00:00+01:00,Utbyte med ESC-volontärer utökas,Maria Nortes från Spanien har fått sällskap av volontären David Pervizi i arbetet med att uppmuntra unga att resa ut i Europa.
2024-02-22T15:55:03+01:00,Detaljplan för kommunhuskvarteret har vunnit laga kraft,Kommunfullmäktige i Lomma antog den 28 september 2023 en ny detaljplan för kommunhuskvarteret. Beslutet överklagades till Mark- och miljödomstolen som den 10 januari 2024 beslutade att avvisa överklagandet.
2024-02-22T13:20:14+01:00,Biståndshandläggare inför telefontid från och med 1 mars,Den 1 mars 2024 inför biståndshandläggarna telefontid. Syftet med telefontiden är att ha en god och strukturerad tillgänglighet för kommuninvånare och anhöriga.
2024-02-21T08:00:00+01:00,Utställning om modersmål på biblioteken,Ta gärna del av en utställning om modersmålsundervisning på våra bibliotek. Den visas i samband med internationella modersmålsdagen den 21 februari.
2024-02-20T11:01:21+01:00,Nationell filmvecka i Lomma kommun,Under vecka 12 går Nationell Filmvecka av stapeln runt om i Sverige. I Lomma kommun uppmärksammas detta med filmvisningar för skolungdomar varje dag den 18-22 mars i både Lomma och Bjärred. Det ordnas även två filmvisningar som är öppna för allmänheten lördagen den 23 mars.
2024-02-19T08:45:07+01:00,I vår startar Lomma kommuns nya klimatpanel - ta chansen att vara med!,Lomma kommun står inför stora utmaningar kopplat till pågående klimatförändringar. För att lyckas nå våra mål måste vi arbeta tillsammans! I mars startar vi upp vår senaste satsning - en klimatpanel. Dit bjuder vi in kommuninvånare som vill vara delaktiga i kommunens framtida energi- och klimatarbete.
2024-02-16T08:30:00+01:00,Anmälan öppnar den 20/2 till Lomma kommuns Seniorklubb,Den förebyggande hälsofrämjande enheten inom Lomma kommun erbjuder även i vår en sex veckors kurs för seniorer som vill vara mer aktiva: Lo mma kommuns Seniorklubb
2024-02-15T11:51:06+01:00,Att leva med Parkinson  –   dialogmöte för dig och din anhörig,Nu bjuder anhörigstödet in dig med Parkinson och din anhörig till dialogmöte.
2024-02-14T09:32:02+01:00,Aktiviteter för sportlovslediga barn och ungdomar,Vecka 8 är det sportlov för alla elever i våra skolor. För er som är hemma under lovet finns många aktiviteter att välja bland i sportlovsprogrammet.
2024-02-06T15:25:36+01:00,Nu är det dags att söka sommarens feriearbete!,Är du född 2006-2008 kan du nu söka årets sommarjobb i Lomma kommun.
2024-02-05T12:34:00+01:00,Beslutat i kommunfullmäktige den 1 februari,Kommunfullmäktige i Lomma kommun hade sammanträde den 1 februari. Här följer en sammanfattning av några av ärendena.
2024-02-02T13:53:50+01:00,"Lomma, Kävlinge kommun och Sveriges lantbruksuniversitet (SLU) lämnar gemensam skrivelse till Region Skånes kollektivtrafiknämnd","I och med Skånetrafikens tabellbyte den 10 december 2023 har kollektivtrafik-pendlingen påverkats. Detta har Lomma, Kävlinge kommun och Sveriges lantbruksuniversitet (SLU) reagerat på. I en skrivelse till Region Skånes kollektivtrafiknämnd lyfter aktörerna riskerna för negativ påverkan på inflyttningen och det hållbara resande i kommunerna som drabbats och önskar dialog med Region Skåne."
2024-02-02T08:00:00+01:00,App ska inspirera till träning,Med appen Exorlive Go kan alla kommuninvånare nu träna på hemmaplan.
2024-01-31T13:33:56+01:00,Öppna hälsosamtal,"I slutet av februari börjar vi med öppna hälsosamtal för dig över 75 år. Du som har anmält intresse att delta i öppna hälsosamtal och blivit utvald, kommer inom kort att få en inbjudan via posten med datum."
2024-01-30T10:38:01+01:00,Vill du jobba som röstmottagare under EU-valet?,Den 9 juni 2024 är det val till Europaparlamentet. Lomma kommun söker nu dig som vill jobba som röstmottagare.
2024-01-29T16:15:46+01:00,Sammanträde med kommunfullmäktige,"Torsdagen den 1 februari, kl 18.00, sammanträder kommunfullmäktige för årets första möte."
2024-01-29T12:34:29+01:00,Kraftringen lägger ny ringledning i Lomma – framkomligheten i trafiken påverkas,I slutet av januari påbörjar Kraftringen ett omfattande projekt på fjärrvärmenätet i Lomma. För att både öka leveranssäkerheten och möjliggöra för ytterligare expansion i framtiden bygger Kraftringen en ny ringledning från deras kraftvärmeverk Återbruket. Arbetet medför att framkomligheten i trafiken påverkas.
2024-01-28T11:00:00+01:00,Barngruppen Hanna och Theo och BiFF,"Nu är anmälan öppen till gruppen för barn vars föräldrar har gått igenom skilsmässa eller separation och som deltagit i BiFF eller samarbetssamtal. Även utbildningen BiFF – Barn i Föräldrars Fokus, erbjuder nya kurstillfällen våren 2024."
2024-01-26T12:46:16+01:00,Senaste nytt från kommunstyrelsen den 24 januari,Kommunstyrelsen hade sammanträde den 24 januari. Här är en sammanfattning av några av ärendena.
2024-01-26T12:45:00+01:00,Hemtjänstens dag,Lördagen den 27 januari är det hemtjänstens dag. Då vill vi passa på att uppmärksamma våra vardagshjältar som gör skillnad i någons liv och vardag.
2024-01-26T08:01:08+01:00,Första spadtaget för nytt LSS-boende,"Den 25 januari togs det första spadtaget för det nya LSS-boendet på Löddesnäsvägen i Bjärred. Projektledare Erik Jarl höll i spaden tillsammans med Susanne Borgelius, ordförande i socialnämnden och Andreas Granberg, VD på MTA Bygg och Anläggning."
2024-01-25T08:00:00+01:00,Öppet hus-vecka på fritidsgården Centralen,Den 5-9 februari bjuder fritidsgården Centralen i Lomma in till Öppet hus. Då finns chans för tonåringar och föräldrar att träffa vår personal och att delta i olika aktiviteter.
2024-01-24T10:21:36+01:00,Panelsamtal om gymnasium och nytt kommunhus,Planerna på ett gymnasium och nytt kommunhus i Lomma har väckt en del frågor från våra kommuninvånare. Några av dessa frågor försöker vi svara på i fyra panelsamtal som vi spelat in.
2024-01-22T16:25:12+01:00,Fördjupad befolkningsprognos årskurs F-3,Lomma kommun har gjort en fördjupad undersökning av befolkningsprognosen. Resultatet förstärker tidigare undersökningar som ligger till grund för beslutet att pausa intaget på två lågstadieskolor i kommunen.
2024-01-22T16:01:16+01:00,Sammanfattning av öppet hus i Bjärred,Det pågår flera spännande projekt i den norra kommundelen som många är nyfikna på och vill veta mer om. Med anledning av det arrangerade samhällsbyggnadsförvaltningen innan årsskiftet ett öppet hus i Bjärred där allmänheten bjöds in. På plats fanns tjänstepersoner och politiker från Lomma kommun för att berätta om projekten och svara på frågor.
2024-01-22T07:00:00+01:00,Digital hjälp vid skilsmässa och separation  –   SES,"Nu har det digitala verktyget SES  –   Samarbete Efter Skilsmässa, kommit till Lomma!"
2024-01-17T14:04:55+01:00,Återvinningsstationer i Lomma kommun,Från och med 1 januari 2024 har Sysav ansvaret för insamlingen av förpackningar från hushåll via återvinningsstationer och fastighetsnära insamling i Lomma kommun. Återvinningsstationerna är de obemannade gröna behållarna som finns för återvinning av förpackningar.
2024-01-12T13:46:19+01:00,Byggstart vid Ovalen,Ovalen är en viktig trafikplats mitt i Lomma där olika vägar möts. Under vecka 4 påbörjar vi renovering av Ovalen och gör om den till en cirkulationsplats - en lösning som blir både enklare och säkrare!
2024-01-12T13:00:00+01:00,Unikt tillfälle för Räddningstjänsten att   öva,Vid tre tillfällen i vinter kommer Räddningstjänsten att träna svåra moment i kommunhusets tomma lokaler.
2024-01-12T08:10:31+01:00,Informationsmöte för fullmäktiges politiker om folkinitiativ,Med anledning av folkinitiativen anordnas ett informationsmöte den 16 januari för kommunfullmäktiges ledamöter och ersättare. Mötets syfte är att informera om processen för folkinitiativ och eventuell folkomröstning. Inga beslut kommer att fattas under mötet.
2024-01-11T07:01:31+01:00,Nu är skolvalet öppet,Skolvalet till höstterminen 2024 genomförs under perioden 11-31 januari. Vårdnadshavare loggar in i e-tjänsten Mitt skolval med sitt bank-ID och väljer önskad skola för sitt barn.
2024-01-09T07:28:51+01:00,Förtydligande om ägande hos entreprenör,Lomma kommun ställer tydliga krav på entreprenörer vid upphandling.
