# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-18 11:13:53
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Danderyd Mörbyskolan;344252;Suburban Background;18.044052;59.39386
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM10;Particulate matter < 10 µm;ug.m-3;4;5200
#
Start;Slut;PM10 (5200)
2022-05-04;2022-05-05;29.0
2022-05-05;2022-05-06;27.7
2022-05-06;2022-05-07;24.4
2022-05-07;2022-05-08;7.20
2022-05-08;2022-05-09;9.00
2022-05-09;2022-05-10;24.7
2022-05-10;2022-05-11;27.9
2022-05-11;2022-05-12;17.9
2022-05-12;2022-05-13;20.9
2022-05-13;2022-05-14;16.2
2022-05-14;2022-05-15;8.30
2022-05-15;2022-05-16;5.80
2022-05-16;2022-05-17;2.60
2022-05-17;2022-05-18;10.8
2022-05-18;2022-05-19;14.3
2022-05-19;2022-05-20;18.7
2022-05-20;2022-05-21;5.80
2022-05-21;2022-05-22;10.4
2022-05-22;2022-05-23;10.0
2022-05-23;2022-05-24;16.2
2022-05-24;2022-05-25;12.1
2022-05-25;2022-05-26;18.4
2022-05-26;2022-05-27;11.7
2022-05-27;2022-05-28;8.50
2022-05-28;2022-05-29;1.30
2022-05-29;2022-05-30;6.80
2022-05-30;2022-05-31;7.00
2022-05-31;2022-06-01;6.20
2022-06-01;2022-06-02;11.0
2022-06-02;2022-06-03;6.70
2022-06-03;2022-06-04;13.2
2022-06-04;2022-06-05;8.20
2022-06-05;2022-06-06;2.90
2022-06-06;2022-06-07;3.60
2022-06-07;2022-06-08;15.2
2022-06-08;2022-06-09;17.1
2022-06-09;2022-06-10;11.0
2022-06-10;2022-06-11;15.6
2022-06-11;2022-06-12;13.8
2022-06-12;2022-06-13;15.6
2022-06-13;2022-06-14;12.3
2022-06-14;2022-06-15;9.40
2022-06-15;2022-06-16;9.10
2022-06-16;2022-06-17;8.30
2022-06-17;2022-06-18;7.90
2022-06-18;2022-06-19;12.6
2022-06-19;2022-06-20;5.00
2022-06-20;2022-06-21;6.40
2022-06-21;2022-06-22;6.90
2022-06-22;2022-06-23;13.8
2022-06-23;2022-06-24;10.8
2022-06-24;2022-06-25;7.80
2022-06-25;2022-06-26;14.0
2022-06-26;2022-06-27;13.1
2022-06-27;2022-06-28;26.9
2022-06-28;2022-06-29;16.0
2022-06-29;2022-06-30;10.7
2022-06-30;2022-07-01;16.2
2022-07-01;2022-07-02;15.9
2022-07-02;2022-07-03;8.50
2022-07-03;2022-07-04;8.10
2022-07-04;2022-07-05;9.30
2022-07-05;2022-07-06;8.00
2022-07-06;2022-07-07;9.50
2022-07-07;2022-07-08;10.8
2022-07-08;2022-07-09;8.50
2022-07-09;2022-07-10;6.30
2022-07-10;2022-07-11;1.90
2022-07-11;2022-07-12;10.0
2022-07-12;2022-07-13;6.00
2022-07-13;2022-07-14;9.60
2022-07-14;2022-07-15;5.00
2022-07-15;2022-07-16;2.80
2022-07-16;2022-07-17;
2022-07-17;2022-07-18;2.60
2022-07-18;2022-07-19;7.40
2022-07-19;2022-07-20;12.1
2022-07-20;2022-07-21;10.8
2022-07-21;2022-07-22;21.6
2022-07-22;2022-07-23;15.3
2022-07-23;2022-07-24;8.10
2022-07-24;2022-07-25;
2022-07-25;2022-07-26;16.8
2022-07-26;2022-07-27;11.3
2022-07-27;2022-07-28;7.20
2022-07-28;2022-07-29;11.2
2022-07-29;2022-07-30;11.2
2022-07-30;2022-07-31;11.2
2022-07-31;2022-08-01;12.1
2022-08-01;2022-08-02;13.2
2022-08-02;2022-08-03;
2022-08-03;2022-08-04;13.8
2022-08-04;2022-08-05;15.4
2022-08-05;2022-08-06;14.8
2022-08-06;2022-08-07;15.5
2022-08-07;2022-08-08;7.00
2022-08-08;2022-08-09;11.3
2022-08-09;2022-08-10;13.1
2022-08-10;2022-08-11;21.4
2022-08-11;2022-08-12;10.0
2022-08-12;2022-08-13;14.4
2022-08-13;2022-08-14;12.2
2022-08-14;2022-08-15;9.50
2022-08-15;2022-08-16;22.8
2022-08-16;2022-08-17;32.7
2022-08-17;2022-08-18;22.4
2022-08-18;2022-08-19;12.2
2022-08-19;2022-08-20;26.2
2022-08-20;2022-08-21;14.3
2022-08-21;2022-08-22;7.90
2022-08-22;2022-08-23;6.10
2022-08-23;2022-08-24;9.10
2022-08-24;2022-08-25;6.10
2022-08-25;2022-08-26;9.40
2022-08-26;2022-08-27;7.00
2022-08-27;2022-08-28;21.7
2022-08-28;2022-08-29;5.20
2022-08-29;2022-08-30;1.10
2022-08-30;2022-08-31;7.00
2022-08-31;2022-09-01;4.00
2022-09-01;2022-09-02;1.40
2022-09-02;2022-09-03;3.80
2022-09-03;2022-09-04;4.70
2022-09-04;2022-09-05;1.10
2022-09-05;2022-09-06;8.60
2022-09-06;2022-09-07;8.50
2022-09-07;2022-09-08;4.60
2022-09-08;2022-09-09;8.90
2022-09-09;2022-09-10;5.20
2022-09-10;2022-09-11;12.8
2022-09-11;2022-09-12;10.0
2022-09-12;2022-09-13;18.4
2022-09-13;2022-09-14;5.50
2022-09-14;2022-09-15;5.60
2022-09-15;2022-09-16;
2022-09-16;2022-09-17;9.60
2022-09-17;2022-09-18;6.70
2022-09-18;2022-09-19;2.60
2022-09-19;2022-09-20;7.50
2022-09-20;2022-09-21;4.60
2022-09-21;2022-09-22;8.20
2022-09-22;2022-09-23;17.4
2022-09-23;2022-09-24;15.2
2022-09-24;2022-09-25;15.5
2022-09-25;2022-09-26;21.2
2022-09-26;2022-09-27;6.40
2022-09-27;2022-09-28;15.9
2022-09-28;2022-09-29;20.7
2022-09-29;2022-09-30;9.60
2022-09-30;2022-10-01;11.9
2022-10-01;2022-10-02;8.10
2022-10-02;2022-10-03;16.2
2022-10-03;2022-10-04;12.2
2022-10-04;2022-10-05;12.4
2022-10-05;2022-10-06;13.4
2022-10-06;2022-10-07;11.7
2022-10-07;2022-10-08;21.3
2022-10-08;2022-10-09;5.00
2022-10-09;2022-10-10;1.20
2022-10-10;2022-10-11;15.9
2022-10-11;2022-10-12;5.30
2022-10-12;2022-10-13;13.9
2022-10-13;2022-10-14;23.7
2022-10-14;2022-10-15;32.9
2022-10-15;2022-10-16;20.2
2022-10-16;2022-10-17;7.40
2022-10-17;2022-10-18;16.4
2022-10-18;2022-10-19;
2022-10-19;2022-10-20;8.30
2022-10-20;2022-10-21;22.9
2022-10-21;2022-10-22;17.7
2022-10-22;2022-10-23;22.2
2022-10-23;2022-10-24;7.30
2022-10-24;2022-10-25;6.20
2022-10-25;2022-10-26;13.2
2022-10-26;2022-10-27;5.50
2022-10-27;2022-10-28;20.4
2022-10-28;2022-10-29;17.8
2022-10-29;2022-10-30;11.1
2022-10-30;2022-10-31;20.9
2022-10-31;2022-11-01;19.7
2022-11-01;2022-11-02;13.2
2022-11-02;2022-11-03;22.1
2022-11-03;2022-11-04;18.0
2022-11-04;2022-11-05;2.30
2022-11-05;2022-11-06;7.70
2022-11-06;2022-11-07;10.1
2022-11-07;2022-11-08;12.0
2022-11-08;2022-11-09;13.1
2022-11-09;2022-11-10;16.0
2022-11-10;2022-11-11;20.5
2022-11-11;2022-11-12;13.2
2022-11-12;2022-11-13;12.9
2022-11-13;2022-11-14;21.4
2022-11-14;2022-11-15;10.4
2022-11-15;2022-11-16;3.10
2022-11-16;2022-11-17;0.300
2022-11-17;2022-11-18;4.50
2022-11-18;2022-11-19;3.70
2022-11-19;2022-11-20;3.70
2022-11-20;2022-11-21;3.60
2022-11-21;2022-11-22;4.30
