# ;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-18 11:13:54
# ;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Stockholm Valhallavägen 81;344260;Urban Background;18.073305;59.3463
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#PM2.5;Particulate matter < 2.5 µm;ug.m-3;5;5184
#
Start;Slut;PM2.5 (5184)
2022-01-01;2022-01-02;2.60
2022-01-02;2022-01-03;2.30
2022-01-03;2022-01-04;2.40
2022-01-04;2022-01-05;2.50
2022-01-05;2022-01-06;2.90
2022-01-06;2022-01-07;2.10
2022-01-07;2022-01-08;2.90
2022-01-08;2022-01-09;4.30
2022-01-09;2022-01-10;4.20
2022-01-10;2022-01-11;5.80
2022-01-11;2022-01-12;6.20
2022-01-12;2022-01-13;5.90
2022-01-13;2022-01-14;3.00
2022-01-14;2022-01-15;5.70
2022-01-15;2022-01-16;6.30
2022-01-16;2022-01-17;2.60
2022-01-17;2022-01-18;7.70
2022-01-18;2022-01-19;7.10
2022-01-19;2022-01-20;4.20
2022-01-20;2022-01-21;4.60
2022-01-21;2022-01-22;2.20
2022-01-22;2022-01-23;4.30
2022-01-23;2022-01-24;3.10
2022-01-24;2022-01-25;2.80
2022-01-25;2022-01-26;4.20
2022-01-26;2022-01-27;3.50
2022-01-27;2022-01-28;
2022-01-28;2022-01-29;3.60
2022-01-29;2022-01-30;2.30
2022-01-30;2022-01-31;2.80
2022-01-31;2022-02-01;1.60
2022-02-01;2022-02-02;2.60
2022-02-02;2022-02-03;4.90
2022-02-03;2022-02-04;4.40
2022-02-04;2022-02-05;2.10
2022-02-05;2022-02-06;3.30
2022-02-06;2022-02-07;3.00
2022-02-07;2022-02-08;2.80
2022-02-08;2022-02-09;2.20
2022-02-09;2022-02-10;3.80
2022-02-10;2022-02-11;7.30
2022-02-11;2022-02-12;9.40
2022-02-12;2022-02-13;8.10
2022-02-13;2022-02-14;7.10
2022-02-14;2022-02-15;8.20
2022-02-15;2022-02-16;6.60
2022-02-16;2022-02-17;3.40
2022-02-17;2022-02-18;1.20
2022-02-18;2022-02-19;6.50
2022-02-19;2022-02-20;1.90
2022-02-20;2022-02-21;2.80
2022-02-21;2022-02-22;1.10
2022-02-22;2022-02-23;4.20
2022-02-23;2022-02-24;3.30
2022-02-24;2022-02-25;3.10
2022-02-25;2022-02-26;2.50
2022-02-26;2022-02-27;7.30
2022-02-27;2022-02-28;8.90
2022-02-28;2022-03-01;9.30
2022-03-01;2022-03-02;20.0
2022-03-02;2022-03-03;9.00
2022-03-03;2022-03-04;5.10
2022-03-04;2022-03-05;9.80
2022-03-05;2022-03-06;11.0
2022-03-06;2022-03-07;7.70
2022-03-07;2022-03-08;7.70
2022-03-08;2022-03-09;12.0
2022-03-09;2022-03-10;6.80
2022-03-10;2022-03-11;24.0
2022-03-11;2022-03-12;37.0
2022-03-12;2022-03-13;29.0
2022-03-13;2022-03-14;10.0
2022-03-14;2022-03-15;16.0
2022-03-15;2022-03-16;14.0
2022-03-16;2022-03-17;27.0
2022-03-17;2022-03-18;28.0
2022-03-18;2022-03-19;27.0
2022-03-19;2022-03-20;31.0
2022-03-20;2022-03-21;16.0
2022-03-21;2022-03-22;16.0
2022-03-22;2022-03-23;13.0
2022-03-23;2022-03-24;7.70
2022-03-24;2022-03-25;19.0
2022-03-25;2022-03-26;26.0
2022-03-26;2022-03-27;20.0
2022-03-27;2022-03-28;7.80
2022-03-28;2022-03-29;23.0
2022-03-29;2022-03-30;7.70
2022-03-30;2022-03-31;7.10
2022-03-31;2022-04-01;9.80
2022-04-01;2022-04-02;4.60
2022-04-02;2022-04-03;5.70
2022-04-03;2022-04-04;4.90
2022-04-04;2022-04-05;2.60
2022-04-05;2022-04-06;4.30
2022-04-06;2022-04-07;6.30
2022-04-07;2022-04-08;1.50
2022-04-08;2022-04-09;6.40
