# ;;;;;;;;;;;;;;Nedladdat från datavärdskapet för luft, SMHI, http://www.smhi.se/datavardluft, 2023-12-03 17:54:11
# ;;;;;;;;;;;;;;Tidsangivelser i UTC+1, Svensk normaltid
#
#Stationsnamn;Nationell stationskod;Klassificering;Longitud;Latitud
#Farstanäs;37155;Rural-Regional Background;17.63234;59.098385
#
#Ämne;Ämnesbeskrivning;Enhet;Mäthöjd;Inlet-id
#precip_amount;precipitation amount;mm;2;-1
#precip_amount;precipitation_amount;mm;2;4257
#Ca++;calcium;mg.l-1;2;4263
#Cl-;chloride;mg.l-1;2;4260
#K+;potassium;mg.l-1;2;4266
#Mg++;magnesium;mg.l-1;2;4264
#Na+;sodium;mg.l-1;2;4265
#NH4+;ammonium;mgN.l-1;2;4262
#NO3-;nitrate;mgN.l-1;2;4261
#SO4--;sulphate;mgS.l-1;2;4259
#k;conductivity;uS.cm-1;2;4901
#pH;acidity(pH);pHunits;2;4258
#
Start;Slut;precip_amount (-1);precip_amount (4257);Ca++ (4263);Cl- (4260);K+ (4266);Mg++ (4264);Na+ (4265);NH4+ (4262);NO3- (4261);SO4-- (4259);k (4901);pH (4258)
2018-01-03 00:00;2018-01-29 00:00;;43.4;0.177;1.28;0.0830;0.0870;0.626;0.257;0.390;0.285;;4.73
2018-01-29 00:00;2018-02-26 00:00;;28.4;0.126;1.04;0.0550;0.0650;0.583;0.329;0.503;0.328;;4.64
2018-02-26 00:00;2018-04-02 00:00;;17.0;0.805;1.16;0.204;0.119;0.570;0.743;1.02;1.24;;4.40
2018-04-02 00:00;2018-05-06 00:00;;31.3;0.385;0.530;0.151;0.0680;0.264;0.854;0.614;0.374;;5.87
2018-05-06 00:00;2018-06-03 00:00;;0.0;;;;;;;;;;
2018-06-03 00:00;2018-07-03 00:00;;42.6;0.538;0.441;1.20;0.179;0.188;0.710;0.152;0.265;;6.53
2018-07-03 00:00;2018-07-29 00:00;;5.83;1.36;0.661;2.84;0.424;0.265;0.728;0.405;0.438;;6.37
2018-07-29 00:00;2018-09-02 00:00;;77.2;0.252;0.280;0.200;0.0630;0.149;0.477;0.316;0.222;;5.45
2018-09-02 00:00;2018-09-30 00:00;;36.2;0.656;1.45;0.814;0.174;0.774;0.0300;0.190;0.197;;6.12
2018-09-30 00:00;2018-11-03 00:00;;27.3;2.21;2.30;1.54;0.461;0.815;0.0150;0.0460;0.465;;6.48
2018-11-03 00:00;2018-12-06 00:00;;75.1;0.299;1.31;0.0850;0.0950;0.579;0.423;0.548;0.494;;4.63
2018-12-06 00:00;2019-01-06 00:00;;37.0;0.294;0.636;0.0570;0.0430;0.339;0.182;0.323;0.203;;5.07
2019-01-06 00:00;2019-02-02 00:00;;26.5;0.418;0.517;0.0720;0.0540;0.273;0.203;0.379;0.177;10.8;4.94
2019-02-02 00:00;2019-03-02 00:00;;38.6;0.245;0.365;0.0340;0.0330;0.236;0.187;0.370;0.123;9.50;5.22
2019-03-02 00:00;2019-03-31 00:00;;55.5;0.216;0.639;0.0440;0.0500;0.371;0.353;0.446;0.170;11.6;5.16
2019-03-31 00:00;2019-05-07 00:00;;7.88;1.31;0.416;0.498;0.186;0.345;0.347;0.612;0.501;17.9;6.17
2019-05-07 00:00;2019-06-04 00:00;;18.1;0.736;0.439;0.922;0.158;0.263;0.767;0.389;0.454;19.6;6.65
