Datum;Skolenhetskod;Skolenhetsnamn;Status;Huvudman_PeOrgNr;Huvudman_Namn;Huvudman_Typ;Skolenhet_ValidFrom;Rektorsnamn;Startdatum;Nedlaggningsdatum;AntalElever
2025-01-20;16013826;Prolympia, Norrköping;Aktiv;5567026454;Prolympia AB;Enskild;2023-05-08;Lina Johansson;2013-10-01;;500
2025-01-20;33468088;Vuollerims Friskola;Aktiv;5567857262;Vuollerims Friskola AB;Enskild;2024-06-13;Annette Amundsson;2013-10-01;;30
2025-01-20;52152242;Rudenschöldskolan;Aktiv;2120001694;LIDKÖPINGS KOMMUN;Kommun;2023-06-13;Ann-Catrine Rundkvist;2013-10-01;;450
2025-01-20;98713812;Toftanässkolan;Aktiv;2120001124;MALMÖ KOMMUN;Kommun;2023-06-02;Claes Jeppsson;2015-06-01;;640
2025-01-20;31638941;Valåsskolan;Aktiv;2120001363;MÖLNDALS KOMMUN;Kommun;2024-05-27;Linda Svensson;2013-10-01;;110
2025-01-20;89498184;Resursskolan UngArt;Aktiv;5566379623;UNGART AB;Enskild;2023-03-22;David Kliba;2013-10-01;;30
2025-01-20;19741742;Vägga gymnasieskola 3;Aktiv;2120000845;KARLSHAMNS KOMMUN;Kommun;2023-06-08;Nils Andersson;2013-10-01;;360
2025-01-20;25720752;Falu Frigymnasium;Aktiv;5566112834;FALU FRIGYMNASIUM AKTIEBOLAG;Enskild;2023-04-25;Maria Pettersson;2013-10-01;;390
2025-01-20;61161774;De la Gardiegymnasiet, enhet 3;Aktiv;2120001694;LIDKÖPINGS KOMMUN;Kommun;2023-06-13;Anja Bäckström;2013-10-01;;520
2025-01-20;66491596;Kitas Natur;Aktiv;5567097117;Kitas utbildning AB;Enskild;2023-05-23;Johan Grudemo;2013-10-01;;280
2025-01-20;67628478;Mälardalens Tekniska Gymnasium;Aktiv;5565484754;Mälardalens Tekniska Gymnasium Aktiebolag;Enskild;2023-12-04;Susann Jungåker;2013-10-01;;210
2025-01-20;69983740;Kitas Gymnasium;Aktiv;5567097117;Kitas utbildning AB;Enskild;2023-05-23;Jonas Nilsson;2013-10-01;;320
2025-01-20;82163292;ForshagaAkademin;Aktiv;5566205737;ForshagaAkademin AB;Enskild;2023-05-30;Fredrik Ernfridsson;2013-10-01;;240
2025-01-20;28023411;Östra Torpskolan F-6;Aktiv;2120000829;KARLSKRONA KOMMUN;Kommun;2023-05-26;Helena Adolfsson;2013-10-01;;220
2025-01-20;95635879;Öresundsgymnasiets Gymnasiesärskola;Vilande;2120001140;LANDSKRONA KOMMUN;Kommun;2022-11-29;Marie Olsson;2014-07-10;2021-08-01;
