Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
16013826;Prolympia, Norrköping;Prolympia AB
33468088;Vuollerims Friskola;Vuollerims Friskola AB
52152242;Rudenschöldskolan;LIDKÖPINGS KOMMUN
98713812;Toftanässkolan;MALMÖ KOMMUN
31638941;Valåsskolan;MÖLNDALS KOMMUN
89498184;Resursskolan UngArt;UNGART AB
19741742;Vägga gymnasieskola 3;KARLSHAMNS KOMMUN
25720752;Falu Frigymnasium;FALU FRIGYMNASIUM AKTIEBOLAG
61161774;De la Gardiegymnasiet, enhet 3;LIDKÖPINGS KOMMUN
66491596;Kitas Natur;Kitas utbildning AB
67628478;Mälardalens Tekniska Gymnasium;Mälardalens Tekniska Gymnasium Aktiebolag
69983740;Kitas Gymnasium;Kitas utbildning AB
82163292;ForshagaAkademin;ForshagaAkademin AB
28023411;Östra Torpskolan F-6;KARLSKRONA KOMMUN
95635879;Öresundsgymnasiets Gymnasiesärskola;LANDSKRONA KOMMUN
30030749;Västervångskolans grundsärskola;LANDSKRONA KOMMUN
63170746;Vuxenutbildningen Särvux;KLIPPANS KOMMUN
58862639;Central insamlingsenhet;KARLSKRONA KOMMUN
81424988;Mariebergsskolan;KARLSTADS KOMMUN
60118391;Entréskolan Järfälla;AmiSgo AB
93403903;Entréskolan Sollentuna;AmiSgo AB
90711097;Jacobiskolan;STIFTELSEN FÖR BILDNING I SVERIGE
92253510;Stenhammarskolan 4-6;FLENS KOMMUN
81546814;Stenhammarskolan 7-9;FLENS KOMMUN
93189258;Stenhammarskolan F-3;FLENS KOMMUN
80621158;Råsslaskolan 1;NORRKÖPINGS KOMMUN
22019000;Södertörns friskola;SÖDERTÖRNS FRISKOLA EKONOMISK FÖRENING
48225182;Selja-Långlets friskola;Selja-Långlets friskola ekonomiska förening
32071849;Europaskolan Strängnäs;Europaskolan Utbildning AB
77441364;Parkskolan;SVALÖVS KOMMUN
24339301;Europaportens grundskola;Europaportens Skolor AB
87686617;Olympica;OLYMPICA AB
36628382;Iljansbodaskolan;JÄRFÄLLA KOMMUN
46239244;Kolarängskolan;JÄRFÄLLA KOMMUN
57755652;Neptuniskolan;JÄRFÄLLA KOMMUN
81021363;Herrestaskolan;JÄRFÄLLA KOMMUN
58173761;Olovslundskolan;JÄRFÄLLA KOMMUN
39015433;Hörby Lärcenter, komvux;HÖRBY KOMMUN
25433795;Kiladalens norra skola;NYKÖPINGS KOMMUN
91419745;Kiladalens södra skola;NYKÖPINGS KOMMUN
23250615;Strandskolan;JÖNKÖPINGS KRISTNA SKOLFÖRENING
35366805;Stockholms Estetiska Gymnasium;STOCKHOLMS ESTETISKA GYMNASIUM EK. FÖR.
92895758;Aspen Montessori;ASPEN MONTESSORI
45136198;Lonnhyttans skola;Granbergsdals skola, Ekonomisk förening
53882684;Mimergården;ÖSTERSUNDS KOMMUN
41303400;Ekholmsskolan;STOCKHOLMS KOMMUN
53651817;Älvsåkersskolan 4-6;KUNGSBACKA KOMMUN
24370775;Åbymoskolan 2;NORRKÖPINGS KOMMUN
62727103;Tavelbäcksskolan;ÖSTERSUNDS KOMMUN
65392939;Ängelholms gymnasieskola Ro 2;ÄNGELHOLMS KOMMUN
98696836;Ängelholms gymnasieskola Ro 3;ÄNGELHOLMS KOMMUN
82160887;Ängelholms gymnasieskola Ro 4;ÄNGELHOLMS KOMMUN
23175129;Ängelholms gymnasieskola Ro 5;ÄNGELHOLMS KOMMUN
36810746;Kungsholmens grundskola 7-9;STOCKHOLMS KOMMUN
77473709;Kungsholmens grundskola F-6;STOCKHOLMS KOMMUN
62394711;Snörrumskolan;DALS-EDS KOMMUN
