Skolenhetskod,Kommunkod,PeOrgNr,Skolenhetsnamn,Status
16013826,0581,5567026454,"Prolympia, Norrköping",Aktiv
33468088,2510,5567857262,Vuollerims Friskola,Aktiv
52152242,1494,2120001694,Rudenschöldskolan,Aktiv
98713812,1280,2120001124,Toftanässkolan,Aktiv
31638941,1481,2120001363,Valåsskolan,Aktiv
89498184,1280,5566379623,Resursskolan UngArt,Aktiv
19741742,1082,2120000845,Vägga gymnasieskola 3,Aktiv
25720752,2080,5566112834,Falu Frigymnasium,Aktiv
47844862,0380,2120003005,Celsiusskolan,Aktiv
61161774,1494,2120001694,"De la Gardiegymnasiet, enhet 3",Aktiv
66491596,1480,5567097117,Kitas Natur,Aktiv
67628478,0181,5565484754,Mälardalens Tekniska Gymnasium,Aktiv
69983740,1480,5567097117,Kitas Gymnasium,Aktiv
82163292,1763,5566205737,ForshagaAkademin,Aktiv
89002561,0180,5568658289,Viktor Rydberg Singoalla Odenplan,Planerad
46826772,0182,7696007835,Saltsjö-Duvnäs Montessoriförskola,Vilande
28023411,1080,2120000829,Östra Torpskolan F-6,Aktiv
95635879,1282,2120001140,Öresundsgymnasiets Gymnasiesärskola,Vilande
30030749,1282,2120001140,Västervångskolans grundsärskola,Vilande
63170746,1276,2120000928,Vuxenutbildningen Särvux,Vilande
58862639,1080,2120000829,Central insamlingsenhet,Vilande
81424988,1780,2120001850,Mariebergsskolan,Aktiv
60118391,0123,5568148117,Entréskolan Järfälla,Vilande
93403903,0163,5568148117,Entréskolan Sollentuna,Vilande
90711097,0180,8024044888,Jacobiskolan,Vilande
92253510,0482,2120000332,Stenhammarskolan 4-6,Vilande
81546814,0482,2120000332,Stenhammarskolan 7-9,Vilande
93189258,0482,2120000332,Stenhammarskolan F-3,Vilande
80621158,0581,2120000456,Råsslaskolan 1,Aktiv
22019000,0126,7696004238,Södertörns friskola,Aktiv
48225182,2062,7696212625,Selja-Långlets friskola,Aktiv
32071849,0486,5567478416,Europaskolan Strängnäs,Aktiv
81875832,1880,5590415591,Amerikanska Gymnasiet Örebro,Planerad
30850713,1980,5590415591,Amerikanska Gymnasiet Västerås,Planerad
77441364,1214,2120000993,Parkskolan,Aktiv
24339301,1280,5568350572,Europaportens grundskola,Aktiv
87686617,2083,5565938700,Olympica,Aktiv
36628382,0123,2120000043,Iljansbodaskolan,Aktiv
46239244,0123,2120000043,Kolarängskolan,Aktiv
57755652,0123,2120000043,Neptuniskolan,Aktiv
81021363,0123,2120000043,Herrestaskolan,Aktiv
58173761,0123,2120000043,Olovslundskolan,Aktiv
39015433,1266,2120001108,"Hörby Lärcenter, komvux",Aktiv
25433795,0480,2120002940,Kiladalens norra skola,Aktiv
91419745,0480,2120002940,Kiladalens södra skola,Aktiv
23250615,0680,8260017648,Strandskolan,Aktiv
35366805,0180,7696029995,Stockholms Estetiska Gymnasium,Aktiv
92895758,1441,8635005500,Aspen Montessori,Aktiv
45136198,1883,7164532033,Lonnhyttans skola,Vilande
32970162,0880,2620000071,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,Vilande
53882684,2380,2120002528,Mimergården,Aktiv
41303400,0180,2120000142,Ekholmsskolan,Vilande
53651817,1384,2120001256,Älvsåkersskolan 4-6,Aktiv
15514098,1292,2120000977,SFI,Aktiv
72406229,1292,2120000977,Särvux,Aktiv
24370775,0581,2120000456,Åbymoskolan 2,Aktiv
62727103,2380,2120002528,Tavelbäcksskolan,Aktiv
65392939,1292,2120000977,Ängelholms gymnasieskola Ro 2,Aktiv
98696836,1292,2120000977,Ängelholms gymnasieskola Ro 3,Aktiv
82160887,1292,2120000977,Ängelholms gymnasieskola Ro 4,Aktiv
23175129,1292,2120000977,Ängelholms gymnasieskola Ro 5,Aktiv
36810746,0180,2120000142,Kungsholmens grundskola 7-9,Vilande
77473709,0180,2120000142,Kungsholmens grundskola F-6,Vilande
62394711,1438,2120001413,Snörrumskolan,Aktiv
19024032,1280,8465016791,Kastanjeskolan,Aktiv
19755937,1277,2120000936,Tingdalsskolan,Aktiv
22909101,1082,7164056082,Waldorfskolan i Karlshamn,Aktiv
14393286,1402,2120001272,Särskolan Öjersjö Storegård,Vilande
87516620,2084,2120002262,Domarhagsskolan,Aktiv
30520409,1980,2120002080,Fridhemsskolans gymnasieenhet,Aktiv
67479283,1737,2120001777,"Stjerneskolan, vux",Aktiv
92204274,0180,5565970471,NTI Gymnasiet Gärdet,Vilande
33483276,0665,2120000522,Fenix Vux 2,Aktiv
38030036,0665,2120000522,Bondstorps skola,Aktiv
82420962,0665,2120000522,Byarums skola,Aktiv
95093042,0665,2120000522,Hoks skola,Aktiv
84329061,1488,2220002998,Nils Ericsonsgymnasiet 1,Aktiv
84225089,1488,2220002998,Nils Ericsonsgymnasiet 2,Aktiv
28784668,1292,2120000977,Grundsärskola SO2,Vilande
75746018,0480,8190010572,Mikaeliskolan,Aktiv
12332278,0160,5564624368,Internationella Engelska Skolan Täby,Aktiv
56187883,0117,5567284822,Skärgårdsgymnasiet,Aktiv
36409468,1880,8750024062,Grenadjärskolan,Aktiv
41584790,0181,5591658975,Järna friskola,Aktiv
44290268,2581,7696098875,Tolvmans Friskola,Aktiv
45133950,0188,7696021117,Freinetskolan Mimer,Aktiv
50194424,1283,8430021918,Pauliskolan,Aktiv
54601339,1452,2120001462,Tranängskolan F-6,Aktiv
56446888,0380,2120003005,Valsätraskolan,Aktiv
56540171,1261,2120001058,Rinnebäcksskolan,Aktiv
57106833,0162,5565422762,Vendestigens skola,Aktiv
65494903,2080,7696149751,Friskolan Mosaik,Aktiv
69498258,2183,8865009610,Edenskolan,Aktiv
69909271,0187,2120002908,Resarö skola,Aktiv
71629249,1081,5566033592,G-klavens fristående skola,Aktiv
84580153,1263,7696021513,I Ur och Skur Skabersjöskolan,Aktiv
93919365,1080,5564127099,Musikugglan,Aktiv
31608087,0139,8132002497,Urfjälls Montessoriskola,Aktiv
74696775,1260,2120001041,Brogårdaskolan,Aktiv
22937083,1291,2120000969,"Österlengymnasiet, enhet 1",Vilande
51515714,1080,5560840877,JB Gymnasiet i Karlskrona,Vilande
93761242,2284,2120002445,Höglandskolan,Vilande
94475114,0683,5560840877,JB Gymnasiet i Värnamo,Vilande
68578167,1292,5560840877,JB Gymnasiet i Ängelholm,Vilande
82555353,1293,5560840877,JB Gymnasiet i Hässleholm,Vilande
35863151,1380,5560840877,JB Gymnasiet i Halmstad,Vilande
68889894,1080,2120000829,Skrävle skola F-6,Vilande
47624007,1480,2120001355,Central Insamlingsenhet Kommunal verksamhet,Vilande
50013979,1384,2120001256,Tingbergsskolan B,Aktiv
69028103,1384,2120001256,Tingbergsskolan A-C,Aktiv
46056119,1384,2120001256,Aranäsgymnasiet gymnasiesär,Vilande
