Minut	Sekund 00	Sekund 01	Sekund 02	Sekund 03	Sekund 04	Sekund 05	Sekund 06	Sekund 07	Sekund 08	Sekund 09	Sekund 10	Sekund 11	Sekund 12	Sekund 13	Sekund 14	Sekund 15	Sekund 16	Sekund 17	Sekund 18	Sekund 19	Sekund 20	Sekund 21	Sekund 22	Sekund 23	Sekund 24	Sekund 25	Sekund 26	Sekund 27	Sekund 28	Sekund 29	Sekund 30	Sekund 31	Sekund 32	Sekund 33	Sekund 34	Sekund 35	Sekund 36	Sekund 37	Sekund 38	Sekund 39	Sekund 40	Sekund 41	Sekund 42	Sekund 43	Sekund 44	Sekund 45	Sekund 46	Sekund 47	Sekund 48	Sekund 49	Sekund 50	Sekund 51	Sekund 52	Sekund 53	Sekund 54	Sekund 55	Sekund 56	Sekund 57	Sekund 58	Sekund 59
23:25	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,067 Hz
23:26	50,067 Hz	50,067 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,069 Hz	50,069 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,073 Hz	50,073 Hz	50,073 Hz	50,074 Hz	50,074 Hz	50,074 Hz	50,075 Hz	50,075 Hz	50,076 Hz	50,076 Hz	50,077 Hz	50,077 Hz	50,077 Hz	50,078 Hz	50,078 Hz	50,078 Hz	50,078 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,08 Hz
23:27	50,08 Hz	50,08 Hz	50,08 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,078 Hz	50,078 Hz	50,078 Hz	50,078 Hz	50,077 Hz	50,077 Hz	50,077 Hz	50,077 Hz	50,076 Hz	50,076 Hz	50,075 Hz	50,075 Hz	50,074 Hz	50,073 Hz	50,073 Hz	50,072 Hz	50,072 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz
23:28	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,073 Hz	50,073 Hz	50,074 Hz	50,074 Hz	50,075 Hz	50,075 Hz	50,076 Hz	50,076 Hz	50,077 Hz	50,077 Hz	50,077 Hz	50,078 Hz	50,078 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,079 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,079 Hz	50,079 Hz	50,08 Hz	50,08 Hz
23:29	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz
23:30	50,084 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,08 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,081 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,082 Hz	50,083 Hz	50,083 Hz	50,083 Hz
23:31	50,084 Hz	50,084 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,086 Hz	50,086 Hz	50,087 Hz	50,087 Hz	50,087 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,089 Hz	50,089 Hz	50,089 Hz	50,089 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,089 Hz	50,089 Hz	50,089 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,087 Hz	50,087 Hz	50,087 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz
23:32	50,083 Hz	50,083 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,087 Hz	50,087 Hz	50,087 Hz	50,087 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,089 Hz
23:33	50,089 Hz	50,089 Hz	50,089 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,091 Hz	50,091 Hz	50,091 Hz	50,091 Hz	50,091 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,09 Hz	50,089 Hz	50,089 Hz	50,089 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,088 Hz	50,087 Hz	50,087 Hz	50,087 Hz	50,086 Hz	50,086 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,084 Hz	50,085 Hz	50,085 Hz
23:34	50,085 Hz	50,085 Hz	50,085 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,086 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,085 Hz	50,084 Hz	50,084 Hz	50,083 Hz	50,083 Hz	50,083 Hz	50,082 Hz	50,082 Hz	50,081 Hz	50,081 Hz	50,08 Hz	50,08 Hz	50,079 Hz	50,079 Hz	50,078 Hz	50,078 Hz	50,077 Hz	50,077 Hz	50,076 Hz	50,076 Hz	50,076 Hz	50,075 Hz	50,075 Hz	50,075 Hz	50,074 Hz	50,074 Hz	50,074 Hz	50,074 Hz	50,073 Hz	50,073 Hz	50,073 Hz	50,073 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,072 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz	50,071 Hz
23:35	50,07 Hz	50,07 Hz	50,07 Hz	50,07 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,069 Hz	50,068 Hz	50,068 Hz	50,068 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,067 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,066 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,065 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,064 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,063 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz	50,062 Hz
23:36	50,061 Hz	50,061 Hz	50,061 Hz	50,061 Hz	50,061 Hz	50,06 Hz	50,06 Hz	50,06 Hz	50,059 Hz	50,059 Hz	50,059 Hz	50,058 Hz	50,058 Hz	50,058 Hz	50,057 Hz	50,057 Hz	50,057 Hz	50,056 Hz	50,056 Hz	50,056 Hz	50,056 Hz	50,056 Hz	50,056 Hz	50,055 Hz	50,055 Hz	50,055 Hz	50,055 Hz	50,055 Hz	50,054 Hz	50,054 Hz	50,054 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz
23:37	50,052 Hz	50,052 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,053 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,052 Hz	50,051 Hz	50,051 Hz	50,051 Hz	50,05 Hz	50,05 Hz	50,049 Hz	50,049 Hz	50,048 Hz	50,048 Hz	50,048 Hz	50,047 Hz	50,047 Hz	50,047 Hz	50,046 Hz	50,046 Hz	50,046 Hz	50,045 Hz	50,045 Hz	50,044 Hz	50,044 Hz	50,043 Hz	50,043 Hz	50,042 Hz	50,041 Hz	50,04 Hz	50,039 Hz	50,038 Hz	50,037 Hz	50,036 Hz	50,035 Hz	50,034 Hz	50,033 Hz	50,032 Hz	50,03 Hz	50,029 Hz	50,028 Hz	50,027 Hz	50,026 Hz	50,025 Hz	50,024 Hz	50,023 Hz
23:38	50,021 Hz	50,02 Hz	50,019 Hz	50,018 Hz	50,016 Hz	50,015 Hz	50,014 Hz	50,012 Hz	50,011 Hz	50,009 Hz	50,008 Hz	50,007 Hz	50,005 Hz	50,004 Hz	50,002 Hz	50,001 Hz	50 Hz	49,998 Hz	49,997 Hz	49,995 Hz	49,994 Hz	49,993 Hz	49,991 Hz	49,99 Hz	49,989 Hz	49,987 Hz	49,986 Hz	49,985 Hz	49,983 Hz	49,982 Hz	49,981 Hz	49,98 Hz	49,979 Hz	49,977 Hz	49,976 Hz	49,975 Hz	49,974 Hz	49,973 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,966 Hz	49,965 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,962 Hz	49,962 Hz	49,961 Hz	49,961 Hz	49,96 Hz	49,96 Hz	49,959 Hz	49,959 Hz
