Tid	Talare	Transkriberad text
00⁠:⁠05 - 00⁠:⁠14	Talare 1	Man kan inte längre, tycker jag, tänka att grönytor är trevliga men parkering är mer viktigt.
00⁠:⁠15 - 00⁠:⁠17	Talare 1	Vi får inte tänka så längre.
00⁠:⁠18 - 00⁠:⁠22	Talare 1	Jag tror att det är många som har insett det här.
00⁠:⁠22 - 00⁠:⁠24	Talare 2	Ja, det är mycket som ska få rum i en stad.
00⁠:⁠25 - 00⁠:⁠29	Talare 2	Fler vill bo där det händer, husen byggs tätare och bilar ska fram.
00⁠:⁠30 - 00⁠:⁠37	Talare 2	I Vetenskapsradion idag handlar det om platser i stan där människor kan få ro och återhämtning för att må bättre.
00⁠:⁠38 - 00⁠:⁠39	Talare 1	Vi får se om vi fryser här.
00⁠:⁠39 - 00⁠:⁠42	Talare 3	Ja, vi får se hur länge vi klarar det.
00⁠:⁠42 - 00⁠:⁠46	Talare 2	Välkommen att följa med på en promenad längs Fyrisån i Uppsala.
00⁠:⁠47 - 00⁠:⁠50	Talare 1	Hej, Terry Hartig heter jag.
00⁠:⁠50 - 00⁠:⁠59	Talare 1	Jag är professor i miljöpsykologi vid Institutet för bostads och urban forskning, Uppsala universitet.
01⁠:⁠01 - 01⁠:⁠06	Talare 3	I din forskning har du bland annat jobbat med restaurativa miljöer.
01⁠:⁠06 - 01⁠:⁠07	Talare 3	Vad är det för någonting?
01⁠:⁠09 - 01⁠:⁠13	Talare 1	Man kan tänka sig en restaurativ miljö på olika sätt.
01⁠:⁠14 - 01⁠:⁠17	Talare 1	Vad det är och vad det inte är.
01⁠:⁠18 - 01⁠:⁠25	Talare 1	Vad det inte är, är en plats där man ska behöva bemöta de kraven
01⁠:⁠25 - 01⁠:⁠35	Talare 1	som får en att känna sig trött, att få en att känna sig dränerad, som tar på ens resurser.
01⁠:⁠36 - 01⁠:⁠43	Talare 1	Sen är det inte enbart en plats där man inte har saker som ställer krav.
01⁠:⁠43 - 01⁠:⁠55	Talare 1	Det är också en plats som ger någonting mer, som är lockande, som är attraktiv, som erbjuder möjligheten att engagera sig.
01⁠:⁠56 - 02⁠:⁠01	Talare 1	Så till exempel man ser något som är vackert, något som är intressant som man vill utforska.
02⁠:⁠03 - 02⁠:⁠17	Talare 1	Något som håller en i platsen så att i sina tankar man inte går tillbaka till alla vardagens krav som man har lämnat bakom sig på något vis.
02⁠:⁠18 - 02⁠:⁠24	Talare 2	Marie Löfqvist är ute och går i Stadsparken i Uppsala den här novemberförmiddagen.
02⁠:⁠24 - 02⁠:⁠28	Talare 2	Jag frågar hur hon tänker om ställen i stan där man kan ta en paus.
02⁠:⁠29 - 02⁠:⁠35	Talare 4	Det är ju fint om det finns platser där man kan återhämta sig, som parker och sånt, tycker jag.
02⁠:⁠35 - 02⁠:⁠37	Talare 4	Hur tycker du att det är här ikring?
02⁠:⁠37 - 02⁠:⁠42	Talare 4	Ja, det finns ju platser, men det kunde ju vara bättre runt Stora torget och där, tycker jag.
02⁠:⁠42 - 02⁠:⁠45	Talare 4	Det är lite för tråkigt, helt enkelt.
02⁠:⁠45 - 02⁠:⁠49	Talare 3	Vad skulle man kunna göra för att det skulle bli mer återhämtande?
02⁠:⁠50 - 02⁠:⁠55	Talare 4	Ja, man skulle kunna göra det lite mer mysigt med lite bänkar och kanske växter.
02⁠:⁠55 - 02⁠:⁠58	Talare 4	Här är det ju fint och vi står nu.
02⁠:⁠59 - 03⁠:⁠04	Talare 3	Tror du det betyder någonting för människors hälsa vad det finns för möjligheter till återhämtning?
03⁠:⁠04 - 03⁠:⁠05	Talare 4	Ja, det tror jag.
03⁠:⁠05 - 03⁠:⁠07	Talare 4	Det tror jag betyder mycket faktiskt.
03⁠:⁠07 - 03⁠:⁠10	Talare 4	Så mycket stress och sådär som det är idag.
03⁠:⁠11 - 03⁠:⁠15	Talare 4	Inte för mig kanske som är pensionär, men de som jobbar och så.
03⁠:⁠16 - 03⁠:⁠19	Talare 2	Anki är också ute och promenerar.
03⁠:⁠19 - 03⁠:⁠24	Talare 5	Bara som att gå genom parken här tycker jag är underbart.
03⁠:⁠24 - 03⁠:⁠31	Talare 5	Vilken årstid den än är så har den sin charm hela tiden på något sätt.
03⁠:⁠31 - 03⁠:⁠35	Talare 5	Sen är det att vara ute, vara ute i skogen.
03⁠:⁠35 - 03⁠:⁠37	Talare 5	Se sig runt och bara gå och strosa.
03⁠:⁠38 - 03⁠:⁠42	Talare 5	Det kan vara att gå in i stan bara för att titta på alla gamla hus.
03⁠:⁠43 - 03⁠:⁠49	Talare 2	Och platsen där man kan hämta andan behöver inte vara så långt bort, säger forskaren Terry Hartig.
03⁠:⁠50 - 03⁠:⁠56	Talare 1	Det kan vara en och samma plats, men man byter aktivitet, man byter fokus.
03⁠:⁠57 - 04⁠:⁠13	Talare 1	Man har något annat som hjälper en att förflytta sig mentalt från kraven som finns där och tillåter en att gå in i någonting som är lockande, kul, intressant.
04⁠:⁠14 - 04⁠:⁠23	Talare 2	Och just som Terry Hartig har börjat berätta mer om ställen där vi kan koppla av så startar det här pålningsarbetet på andra sidan Fyrisån.
04⁠:⁠24 - 04⁠:⁠27	Talare 1	Och det i sig är lite intressant.
04⁠:⁠27 - 04⁠:⁠30	Talare 1	Det ska byggas här i staden, här i Uppsala.
