CN-kod,Beskrivning_final,Tullsats
07104000,"Sockermajs, även ångkokta eller kokta i vatten, frysta",25%
07119030,"Sockermajs, tillfälligt konserverade, t.ex. med svaveldioxidgas eller i saltlake, svavelsyrlighetsvatten eller andra konserverande lösningar, men olämpliga för direkt konsumtion i detta tillstånd",25%
07133390,"Trädgårdsbönor ""Phaseolus vulgaris"", t.ex. bruna bönor, vita bönor, torkade, även skalade eller sönderdelade (exkl. för utsäde)",25%
10059000,Majs (exkl. majs för utsäde),25%
10063021,"Ris, rundkornigt, delvis slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled""",25%
10063023,"Ris, mellankornigt, delvis slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled""",25%
10063025,"Ris, rundkornigt, delvis slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled"", med ett förhållande mellan kornets längd och bredd av > 2, men < 3",25%
10063027,"Ris, rundkornigt, delvis slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled"", med ett förhållande mellan kornets längd och bredd av >= 3",25%
10063029,"Ris, delvis slipat, förvällt och ångbehandlat ""parboiled"" (exkl. rundkornigt, mellankornigt och långkornigt)",25%
10063042,"Ris, rundkornigt, delvis slipat, även polerat eller glaserat (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063044,"Ris, mellankornigt, delvis slipat, även polerat eller glaserat (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063046,"Ris, långkornigt, delvis slipat, även polerat eller glaserat, med ett förhållande mellan kornets längd och bredd av > 2, men < 3 (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063048,"Ris, långkornigt, delvis slipat, även polerat eller glaserat, med ett förhållande mellan kornets längd och bredd av >= 3 (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063049,"Ris, delvis slipat (exkl. rundkornigt, mellankornigt och långkornigt; förvällt och ångbehandlat ""parboiled"")",25%
10063061,"Ris, rundkornigt, helt slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled""",25%
10063063,"Ris, mellankornigt, helt slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled""",25%
10063065,"Ris, långkornigt, helt slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled"", med ett förhållande mellan kornets längd och bredd av > 2, men < 3",25%
10063067,"Ris, långkornigt, helt slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled"", med ett förhållande mellan kornets längd och bredd av >= 3",25%
10063069,"Ris, helt slipat, även polerat eller glaserat, förvällt och ångbehandlat ""parboiled"" (exkl. rundkornigt, mellankornigt och långkornigt)",25%
10063092,"Ris, rundkornigt, helt slipat, även polerat eller glaserat (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063094,"Ris, mellankornigt, helt slipat, även polerat eller glaserat (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063096,"Ris, långkornigt, helt slipat, även polerat eller glaserat, med ett förhållande mellan kornets längd och bredd av > 2, men < 3 (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063098,"Ris, långkornigt, helt slipat, även polerat eller glaserat, med ett förhållande mellan kornets längd och bredd av >= 3 (exkl. förvällt och ångbehandlat ""parboiled"")",25%
10063099,"Ris, helt slipat, även polerat eller glaserat (exkl. rundkornigt, mellankornigt och långkornigt; förvällt och ångbehandlat ""parboiled"")",25%
10064000,"Ris, brutet",25%
19041030,Livsmedelsberedningar erhållna genom svällning eller rostning av spannmål eller spannmålsprodukter framställda av ris,25%
19049010,"Ris, förkokt eller på annat sätt berett, i.a.n. (exkl. mjöl och krossgryn, livsmedelsberedningar erhållna genom svällning eller rostning eller av orostade spannmålsflingor eller av blandningar av orostade och rostade spannmålsflingor eller svällning av spannmål)",25%
20019030,"Sockermajs ""Zea mays var. saccharata"", beredda eller konserverade med ättika eller ättiksyra",25%
20049010,"Sockermajs ""Zea mays var. saccharata"", beredda eller konserverade på annat sätt än med ättika eller ättiksyra, frysta",25%
20058000,"Sockermajs ""Zea mays var. saccharata"", beredda eller konserverade på annat sätt än med ättika eller ättiksyra, inte frysta",25%
20081110,Jordnötssmör,25%
20089311,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade, med ett sockerinnehåll av > 9 viktprocent, med en verklig alkoholhalt <= 11,85 % mas (exkl. konserverade i socker, men inte inlagda i sockerlag, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20089319,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade, med ett sockerinnehåll av > 9 viktprocent, med en verklig alkoholhalt > 11,85 % mas (exkl. konserverade i socker men inte inlagda i sockerlag, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20089329,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade, med ett sockerinnehåll av <= 9 viktprocent, med en verklig alkoholhalt > 11,85 % mas (exkl. konserverade i socker men inte inlagda i sockerlag, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20089391,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade, med tillsats av socker, löst liggande i förpackningar med en nettovikt av >1 kg (exkl. med tillsats av alkohol, konserverade i socker, men inte inlagda i sockerlag, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20089393,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade, med tillsats av socker, löst liggande i förpackningar med en nettovikt av <=1 kg (exkl. med tillsats av alkohol, konserverade i socker, men inte inlagda i sockerlag, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20089399,"Tranbär och lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis- idaea"", beredda eller konserverade (exkl. med tillsats av alkohol eller socker, sylter, fruktgeléer och bärgeléer, marmelader, mos och pastor, erhållna genom kokning)",25%
20091200,"Apelsinsaft, ojäst, med ett Brixtal av <= 20 vid 20°C, även med tillsats av socker eller annat sötningsmedel (exkl. fryst samt innehållande alkohol)",25%
20091911,"Apelsinsaft, ojäst, med ett Brixtal av > 67 vid 20°C, även med tillsats av socker eller annat sötningsmedel, med ett värde per 100 kg netto av <= 30 € (exkl. innehållande alkohol och fryst)",25%
20091919,"Apelsinsaft, ojäst, med ett Brixtal av > 67 vid 20°C, även med tillsats av socker eller annat sötningsmedel, med ett värde per 100 kg netto av > 30 € (exkl. innehållande alkohol och fryst)",25%
20091991,"Apelsinsaft, ojäst, med ett Brixtal av > 20 men <= 67 vid 20°C, med ett värde per 100 kg netto av <= 30 € och med ett innehåll av tillsatt socker av > 30 viktprocent (exkl. innehållande alkohol och fryst)",25%
20091998,"Apelsinsaft, ojäst, med ett Brixtal av > 20 men <= 67 vid 20°C, även med tillsats av socker eller annat sötningsmedel (exkl. innehållande alkohol, fryst samt med ett värde per 100 kg netto av <= 30 € och med ett innehåll av tillsatt socker av > 30 viktprocent)",25%
20098111,"Saft av tranbär eller lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis-idaea"", ojäst, även med tillsats av socker eller annat sötningsmedel, med ett Brixtal av > 67 vid 20°C, med ett värde per 100 kg netto av <= 30 € (exkl. tillsats av alkohol)",25%
20098119,"Saft av tranbär eller lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis-idaea"", ojäst, även med tillsats av socker eller annat sötningsmedel, med ett Brixtal av > 67 vid 20°C, med ett värde per 100 kg netto av > 30 € (exkl. tillsats av alkohol)",25%
20098131,"Saft av tranbär eller lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis-idaea"", ojäst, med ett Brixtal av <= 67 vid 20°C, med ett värde per 100 kg netto av > 30 € och med tillsats av socker (exkl. tillsats av alkohol)",25%
20098159,"Saft av tranbär eller lingon ""Vaccinium macrocarpon"", ""Vaccinium oxycoccos"", ""Vaccinium vitis-idaea"", ojäst, med ett Brixtal av <= 67 vid 20°C, med ett värde per 100 kg netto av <= 30 €, med ett innehåll av tillsatt socker av <= 30 viktprocent (exkl. tillsats av alkohol)",25%
20098195,"Saft av bär av arten ""Vaccinium macrocarpon"", ojäst, med ett Brixtal av <= 67 vid 20°C (exkl. med tillsats av socker eller alkohol)",25%
20098199,"Saft av tranbär eller lingon ""Vaccinium oxycoccos"", ""Vaccinium vitis-idaea"", ojäst, med ett Brixtal av <= 67 vid 20°C (exkl. med tillsats av socker eller alkohol)",25%
24021000,Cigarrer och cigariller innehållande tobak,25%
24022010,Cigarretter innehållande tobak och kryddnelikor,25%
24022090,Cigarretter innehållande tobak (exkl. innehållande kryddnelikor),25%
24029000,"Cigarrer, cigariller och cigarretter, uteslutande av tobaksersättning",25%
24031100,"Vattenpipstobak, avsedd för rökning i en vattenpipa och som består av en blandning av tobak och glycerol, även innehållande aromatiska oljor och extrakt, melass eller socker och även smaksatt med frukt (exkl. produkter utan tobak som är avsedda att rökas i en vattenpipa)",25%
24031910,"Röktobak, även innehållande tobaksersättning, oavsett mängden, löst liggande i förpackningar med en nettovikt av <= 500 g (exkl. vattenpipstobak innehållande tobak)",25%
24031990,"Röktobak, även innehållande tobaksersättning, oavsett mängden, löst liggande i förpackningar med en nettovikt av > 500 g (exkl. vattenpipstobak innehållande tobak)",25%
24039100,"Tobak, ""homogeniserad"" eller ""rekonstituerad"" från fint skurna tobaksblad, tobaksavfall eller tobaksdamm (exkl. produkter enligt 2404)",25%
24039910,Tuggtobak och luktsnus (exkl. oralt snus),25%
24039990,"Varor tillverkade av tobak eller tobaksersättning, inkl. oralt snus, tobakspulver, tobaksextrakt och essenser av tobak (exkl. tuggtobak, luktsnus, cigarrer, cigariller, cigaretter av tobak eller tobaksersättning oavsett mängden; ”homogeniserad"" eller ""rekonstituerad"" tobak samt produkter enligt 2404)",25%
24041100,"Produkter innehållande tobak eller rekonstituerad tobak, avsedda för inhalering utan förbränning",25%
24041910,"Produkter innehållande tobaksersättning, avsedda för inhalering utan förbränning (exkl. innehållande nikotin)",25%
24049190,"Nikotinprodukter avsedda för intag av nikotin in i människokroppen, för oral användning (exkl. för inhalering och produkter avsedda för tobaksavvänjning)",25%
33011210,"Apelsinolja, inte terpenfri, inkl. ""concretes"" och ""absolutes"" (exkl. olja från apelsinblom)",10%
33011310,"Citronolja, inte terpenfria, inkl. ""concretes"" och ""absolutes""",10%
33019010,Terpenhaltiga biprodukter erhållna vid avterpenisering av eteriska oljor,10%
33019030,"Oleoresiner, extraherade (exkl. av vaniljextrakt, av lakrits och av humle)",10%
33019090,"Koncentrat av eteriska oljor i fett, icke-flyktig olja, vax e.d., erhållna genom s.k. enfleurage eller maceration; vatten från destillation av eteriska oljor och vattenlösningar av sådana oljor",10%
33029010,"Blandningar av luktämnen samt blandningar på basis av ett eller flera luktämnen, av sådana slag som används som råvaror inom industrin, i form av alkohollösningar (exkl. av sådana slag som används inom livsmedelsindustrin eller vid industriell tillverkning av drycker)",10%
33029090,"Blandningar av luktämnen samt blandningar på basis av ett eller flera luktämnen, av sådana slag som används som råvaror inom industrin (exkl. av sådana slag som används inom livsmedelsindustrin eller vid industriell tillverkning av drycker samt alkohollösningar)",10%
33041000,Preparat för läpp-make-up,10%
33042000,Preparat för ögon-make-up,25%
33043000,Preparat för manikyr eller pedikyr,25%
